,2021-12-30,今年以来612家公司违规受罚 近两成个股已被风险警示,大众证券报
573,2021-04-29,券商股突然爆发，白酒大跳水！八连板妖股来了,Wind
574,2021-04-29,公牛集团去年扣非净利持平ROE下降 一季度高瓴减持 盈利能力下降,中国经济网
575,2021-04-29,A股午盘综述：上证指数涨0.17%，金融股罕见发力,Wind
576,2021-04-29,公牛集团：2020年扣非净利同比减少0.08%至22.22亿元｜年报快讯 盈利能力下降,乐居财经
577,2021-04-29,A股异动|公牛集团(603195.SH)涨近7%一季度净利润升256.17%,格隆汇
578,2021-04-29,A股早报2021年4月29日星期四,Wind
579,2021-04-29,公牛集团：2020年归母净利润约23.1亿元，同比变化不大,证券之星
580,2021-04-29,公牛集团：拟向激励对象547人授予限制性股票69.27万股,每日经济新闻
581,2021-04-29,亮眼！公牛集团：2021年第一季度净利润约6.07亿元，同比增加256.17%,每日经济新闻
582,2021-04-28,公牛集团(603195.SH)2020年度净利润升0.42%至23.13亿元 拟10派20元,格隆汇
583,2021-04-28,公牛集团(603195.SH)一季度净利润升256.17%至6.07亿元,格隆汇
584,2021-04-28,公牛集团(603195.SH)一季度归母净利同比增长256.17%至6.07亿元,智通财经
585,2021-04-28,公牛集团(603195.SH)年度归母净利同比增长0.42%至23.13亿元 每10股派20元,智通财经
586,2021-04-28,公牛集团：一季度净利同比增256% 年报拟10派20元,e公司
587,2021-04-28,公牛集团：2020年净利润同比增长0.42%,Wind
588,2021-04-28,公牛集团：一季度净利润同比增长256.17%,Wind
589,2021-04-27,轻工制造行业周报：财报之后挖掘真成长 家居看品类家护看渠道,新浪
590,2021-04-21,公牛集团今日大宗交易成交27万股，成交价164.0元折价10.81%,Wind
591,2021-04-20,德邦证券--轻工制造行业周报：家居Q1靓丽，个护消费亦成长【行业研究】,金融界股吧
592,2021-04-19,高瓴资本概念股普遍强势，国瓷材料、恩捷股份大涨,Wind
593,2021-04-15,高瓴资本概念股走势分化，国瓷材料、凯莱英、公牛集团、海正药业、健康元逆市上涨,Wind
594,2021-04-12,公牛集团：曹伟辞任董事职务 董监高成员变化,乐居财经
595,2021-04-12,公牛集团(603195.SH)董事曹伟辞职 董监高成员变化,智通财经
596,2021-04-12,德邦证券--轻工制造行业：造纸Q1业绩靓丽，家居保持高景气【行业研究】,金融界股吧
597,2021-04-12,高瓴资本概念股普遍下滑，公牛集团、泰格医药、健帆生物、凯莱英领跌,Wind
598,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
599,2021-04-09,高瓴资本概念股走势分化，恩捷股份、公牛集团、良品铺子、泰格医药下滑,Wind
600,2021-04-08,深度*行业*家电行业陆股通持仓点评：外资持股比例微降 持续看好需求景气度向上的子板块,新浪
601,2021-04-08,轻工行业4月投资策略：淡看风吹浪打 龙头机遇或现,新浪
602,2021-04-07,轻工行业周观点：浆纸共振需待顺价疏通 家居与电子烟高景气望延续 维持推荐行业细分龙头,新浪
603,2021-04-07,高瓴资本概念股普遍调整，良品铺子、甘李、金域、广联达、公牛跌幅居前,Wind
604,2021-04-07,德邦证券--轻工制造行业周报：继续推荐大家居产业链，关注一季报业绩超预期标的【行业研究】,金融界股吧
605,2021-04-07,春糖：酱酒火热，老酒兴起（4月7日）,德邦证券微资讯
606,2021-04-06,家电行业2021年一季报业绩前瞻：低基数高增长 看好行业景气向上 把握品牌出海机遇,新浪
607,2021-03-31,高瓴资本概念股多数调整，凯莱英、公牛、金域医学、广联达、恩捷纷纷下滑,Wind
608,2021-03-30,公牛集团：3月30日获主力资金净流入7040.85万元,每日经济新闻
609,2021-03-30,高瓴资本概念股普遍强势，公牛、良品铺子、健帆、凯莱英、泰格涨幅居前,Wind
610,2021-03-29,德邦证券--轻工制造行业周报：家居终端靓丽维持推荐，电子烟政策靴子落地【行业研究】,金融界股吧
611,2021-03-25,善用专利无效制度 化侵权为无形 诉讼纠纷,中国贸易报
612,2021-03-24,公牛集团：目前公司没有无影照明产品,每日经济新闻
613,2021-03-24,罕见，味茅、医药茅跌跌不休，砸盘元凶曝光,Wind
614,2021-03-22,中国银河--轻工行业周报：浆跌纸稳观需求动向，集友拟推“加热植物芯”产品，维持推荐行业细分龙头【行业研究】,金融界股吧
615,2021-03-17,A股史上首次蓝筹股泡沫破裂，6成私募反对抄底,Wind
616,2021-03-16,【广西】梧州市长洲区新来五金交电经营部行政处罚决定书（梧市监处〔2021〕410号）,质量新闻网
617,2021-03-16,高瓴资本概念股反弹，金域医学、凯莱英、广联达、恩捷股份、公牛集团普涨,Wind
618,2021-03-15,轻工制造行业：生活用纸终端价格略涨 重视原材料涨价下龙头配置价值,新浪
619,2021-03-15,北向资金大调仓！狂买5只银行股，2000亿市值钢铁巨头遭减仓,Wind
620,2021-03-14,终结净流出态势，北向资金本周逆市抄底，这些个股获大比例加仓,财联社
621,2021-03-12,西部证券--电新行业周报：产业链涨价影响光伏需求预期，电动车销量有望持续高增长【行业研究】,金融界股吧
622,2021-03-11,每件10元，利润2元，一年卖10亿件，这家公司值1000亿？,36氪
623,2021-03-11,高瓴资本概念股普遍活跃，凯莱英、泰格医药、公牛集团、国瓷材料等齐涨,Wind
624,2021-03-08,轻工制造行业：成本推动下游纸价高涨 行情仍处于上升阶段 关注业绩超预期,新浪
625,2021-03-08,光大证券--轻工行业2021年春季策略报告：海内外需求修复拉动家居业绩，大宗用纸供求优化有望开启行情【行业研究】,金融界股吧
626,2021-03-08,中国银河--轻工行业周报：浆纸共振白卡过万，索菲亚新推子品牌加码全屋定制，维持推荐行业细分龙头【行业研究】,金融界股吧
627,2021-03-04,公牛集团跌6.33% 市值1117亿去年前3季度业绩下降 盈利能力下降,中国经济网
628,2021-03-04,行业巨头紧急提价，涨价通知满天飞，原材料将迎十年来最大短缺！概念股名单仅这些,证券时报
629,2021-03-04,原材料价格大涨，照明灯饰企业开启涨价潮,证券时报网
630,2021-03-04,解盘：白马股遭抛弃，稀土永磁、光刻胶、ST、半导体略涨,Wind
631,2021-03-04,高瓴资本概念股普遍下滑，公牛集团、凯莱英、泰格医药、金域医学、恩捷股份领跌,Wind
632,2021-03-03,光大证券--轻工行业2021年春季策略报告：海内外需求修复拉动家居业绩，大宗用纸供求优化有望开启行情【行业研究】,金融界股吧
633,2021-03-02,国信证券--轻工行业3月投资策略暨年报前瞻：淡看风吹浪打，龙头机遇或现【行业研究】,金融界股吧
634,2021-03-01,深度*行业*家电行业陆股通持仓点评,新浪
635,2021-02-23,公牛集团跌5% 施罗德投资香港旗下两基金持股,中国经济网
636,2021-02-23,高瓴资本概念股走势分化，恩捷股份、泰格医药、公牛集团继续调整,Wind
637,2021-02-22,公牛集团今日大宗交易成交1万股，成交价200.13元折价7.37%,Wind
638,2021-02-22,公牛集团现1笔大宗交易 共成交200.13万元,新浪
639,2021-02-22,中国银河--轻工行业：浆价连涨纸价盘整，1月建材家居景气指数同比高增，维持推荐行业细分龙头【行业研究】,金融界股吧
640,2021-02-22,家用电器行业2021W8周观点：中小市值企业价值有望提升 铜、铝原材料价格上涨,新浪
641,2021-02-22,新时代证券--轻工制造行业：春节智能家电、黄金珠宝消费需求大幅增长，瓦楞纸开工季强势涨价【行业研究】,金融界股吧
642,2021-02-22,北上资金罕见同时悄悄重仓，业绩高增长股仅10只,证券时报网
643,2021-02-22,炸锅！大资金要马上杀入这些股，北上资金罕见同时悄悄重仓它们，业绩高增长股仅10只,证券时报
644,2021-02-21,上市当天一签可赚2万！“混凝土大王”下周打新,中证报
645,2021-02-21,轻工制造行业周报：预计各细分板块加速回暖 关注造纸景气抬升 家居珠宝消费回暖,新浪
646,2021-02-20,北向资金大调仓！加仓三大“中”字头，减仓半导体,中证报
647,2021-02-20,富时罗素季度调整结果公布，速看新增A股标的全名单！,上证报
648,2021-02-19,高瓴资本概念股走势分化，公牛、甘李、国瓷材料、金域医学、恩捷股份等跌幅较大,Wind
649,2021-02-19,上市公司套保需求上升，期货业开拓“蓝海”服务实体经济,Wind
650,2021-02-18,高瓴资本概念股多数调整，公牛集团、健帆生物、凯莱英、泰格医药、恩捷股份领跌,Wind
651,2021-02-09,公牛集团(603195)：消费三力优秀壁垒深 拓宽产品赛道创高峰,广发证券
652,2021-02-09,高瓴资本概念股普遍活跃，恩捷股份、公牛集团、广联达、甘李药业大涨,Wind
653,2021-02-08,轻工制造2020年报业绩前瞻：需求向上，逐季改善，龙头领跑【华西轻工徐林锋团队】,轻工锋尚
654,2021-02-08,轻工制造行业投资周报：超配家居板块 持续聚焦造纸龙头,新浪
655,2021-02-08,轻工制造行业：坚定看好零售家居业绩持续改善 推荐关注顺周期造纸龙头,新浪
656,2021-02-07,电新行业周报：硅料涨价开始向下游传导 电动车销量同比高增长,新浪
657,2021-02-07,下周操盘攻略：深交所主板和中小板合并，优化中长期资金入市环境,Wind
658,2021-02-07,下周1466亿市值限售股解禁，环比增加96.93% 解禁,Wind
659,2021-02-06,公牛集团归还用于补充流动资金的2.42亿元闲置募集资金,乐居财经
660,2021-02-06,公牛集团使用6000万元闲置募集资金委托理财,乐居财经
661,2021-02-04,宁波富豪发家史：借2万元办工厂，靠卖插座身家超过1000亿,腾讯网
662,2021-02-04,轻工日化行业：重申看好2021年家居板块的持续改善趋势 聚焦三条细分赛道,新浪
663,2021-02-04,高瓴资本概念股走势分化，公牛集团、国瓷材料走强,Wind
664,2021-02-02,高瓴资本概念股普遍强势，良品铺子、公牛集团、泰格医药、金域医学等纷纷走升,Wind
665,2021-02-01,中国银河--轻工行业：浆价激增助纸价上扬，家居龙头Q4提速佐证高景气，维持推荐行业细分龙头【行业研究】,金融界股吧
666,2021-01-31,天风家电 | 20Q4家电行业基金持仓分析：行业整体持仓提升，白电板块提升明显,小蔡看家电
667,2021-01-30,【华创轻工纺服】轻工纺服行业跟踪报告：轻工与纺服基金持仓占比提升，细分龙头投资价值再次凸显,风轻龙跃
668,2021-01-29,公牛集团(603195.SH)：1538.55万股限售股2月8日解禁 解禁,格隆汇
669,2021-01-29,国信证券--轻工行业2月投资策略：电子烟品牌龙头上市，产业链热度持续【行业研究】,金融界股吧
670,2021-01-26,高瓴资本概念股普遍调整，恩捷股份、凯莱英、公牛集团、甘李药业、泰格医药均大跌,Wind
671,2021-01-26,【华创轻工纺服】电工照明行业深度研究报告：后疫情时代行业复苏开启，龙头竞争实力凸显,风轻龙跃
672,2021-01-25,轻工制造行业投资周报：竣工与销售回暖支撑后周期消费释放 优质资产估值有望加速回归,新浪
673,2021-01-21,高瓴资本概念股整体活跃，国瓷材料、公牛集团、良品铺子均大涨,Wind
674,2021-01-21,北向资金增仓榜：36股持股量环比增加超20%,证券时报网
675,2021-01-20,家电行业2020年年报业绩前瞻：内外景气共振 把握年报业绩超预期,新浪
676,2021-01-20,轻工行业1月投资策略：把握两地市场优质龙头配置机遇,新浪
677,2021-01-19,轻工制造行业：家居内外销需求向好 浆纸系价格持续上涨 推荐家居造纸细分龙头,新浪
678,2021-01-18,高瓴资本概念股普遍活跃，广联达、国瓷材料、凯莱英、公牛集团走强,Wind
679,2021-01-18,轻工制造行业：博汇纸业拟定增提升综合实力 公牛与华为签署战略协议,新浪
680,2021-01-15,反常市值股价、高额的分红套现 公牛背后究竟有什么猫腻？,36氪
681,2021-01-15,一个插座撑起千亿市值，公牛还能牛多久？,36氪
682,2021-01-15,机构抱团股砸出“深坑”！未来高增长名单来了,证券时报网
683,2021-01-14,公牛集团入选浙江省第二批“雄鹰行动”培育企业名单,证券日报网
684,2021-01-14,3倍股公牛集团今市值蒸发130亿 去年前3季业绩下降 连续下跌,中国经济网
685,2021-01-14,公牛集团新增1起开庭 案由不详 诉讼纠纷,乐居财经
686,2021-01-14,上证报头版：擦亮中国制造金招牌，上市公司只为一声“质量好”,Wind
687,2021-01-13,公牛集团携手华为 布局手机快充领域,证券日报网
688,2021-01-13,轻工制造双周报21年1期：木浆系快速上涨推荐洁柔、太阳 悦刻递交招股书持续关注思摩尔,新浪
689,2021-01-12,公牛集团与华为签署战略合作协议,e公司
690,2021-01-12,高瓴资本概念股整体活跃，广联达、甘李药业、健帆生物、健康元、公牛集团普涨,Wind
691,2021-01-11,轻工制造行业：12部委通知联合促进家具消费 浆纸系价格持续上升,新浪
692,2021-01-07,公牛集团(603195.SH)：拟继续使用不超17亿元暂时闲置募集资金进行现金管理,格隆汇
693,2021-01-07,公牛集团(603195.SH)继续使用不超12亿元闲置募集资金暂时补充流动资金,格隆汇
694,2021-01-07,公牛集团(603195.SH)及下属子公司拟开展大宗原材料期货业务,格隆汇
695,2021-01-07,公牛集团(603195.SH)拟向银行申请不超25亿元综合授信额度,格隆汇
696,2021-01-07,公牛集团(603195.SH)：拟使用不超15亿元暂时闲置募集资金进行现金管理,格隆汇
697,2021-01-07,公牛集团收回到期理财本金5000万元及收益43.32万元,乐居财经
698,2021-01-07,公牛集团收回理财本金5000万元及收益24.29万元,乐居财经
699,2021-01-06,四家LED企业入围中国上市公司市值500强,Ofweek
700,2021-01-06,三安、公牛等四家LED企业跻身“中国上市企业市值500强”,LED在线
701,2021-01-05,高瓴资本概念股表现活跃，良品铺子、公牛集团、泰格医药、甘李药业、凯莱英普涨,Wind
702,2020-12-31,家电及相关行业：内需温和复苏 出口维持强劲增长,新浪
703,2020-12-29,浙商证券年度策略会重磅回顾：大消费首席观点,纺服新消费马莉团队
704,2020-12-28,轻工制造行业动态：家居出口高景气延续 白卡纸价新高 龙头恒强,新浪
705,2020-12-27,轻工制造行业周报聚焦稳健医疗医用敷料业务：生产技术赋能品牌 疫情催化焕发生机,新浪
706,2020-12-25,公牛集团(603195.SH)选举李雨为职工监事,智通财经
707,2020-12-21,家电及相关行业：11月空调零售量下滑需要担心吗？,新浪
708,2020-12-21,轻工制造行业动态：地产数据持续修复 软体格局优化、持续推荐敏华控股,新浪
709,2020-12-21,高瓴资本概念股表现活跃，国瓷材料、恩捷股份、海正药业、广联达等普涨,Wind
710,2020-12-21,高瓴158亿杀入光伏龙头，最新持仓全名单曝光,证券时报网
711,2020-12-18,年内IPO募资逾4400亿元，科创板占47%,Wind
712,2020-12-16,森马服饰||高管增持彰显公司长远发展信心，业绩持续复苏,吕明可选消费研究
713,2020-12-15,高瓴资本概念股普遍强势，甘李药业、恩捷股份、金域医学、广联达等集体走强,Wind
714,2020-12-15,轻工制造行业动态：关注轻工2021年投资策略 家居内外销景气度上升,新浪
715,2020-12-14,高瓴资本概念股普遍活跃，恩捷股份、公牛集团、良品铺子、健帆生物等大涨,Wind
716,2020-12-14,【东兴大消费】周观点：寻求业绩确定性，关注年底估值切换,东兴社服
717,2020-12-08,公牛集团(603195)：线上零售好转 墙壁开关插座业务需求改善明显,新浪
718,2020-12-07,高瓴资本概念股逆市活跃，广联达、国瓷材料、泰格医药、凯莱英等普涨,Wind
719,2020-12-07,可选消费行业2021年策略报告（1）：顺应渠道变革方向,吕明可选消费研究
720,2020-12-07,【东兴大消费】周观点：聚焦景气持续，寻求业绩确定性,东兴社服
721,2020-12-07,轻工制造行业：保碧基金赋能优质供应链 竣工周期加快C端需求弹性,新浪
722,2020-12-03,福建省漳州市市场监管局抽检80批次电气产品 10批次不合格 产品问题,质量新闻网
723,2020-12-03,轻工制造2021年度策略：聚焦景气、格局双优化 新型烟草蓄势待发,新浪
724,2020-12-01,裕同科技||业绩预告符合预期，短期扰动带来长期布局机会,吕明可选消费研究
725,2020-11-30,稳健医疗||发布股权激励计划彰显信心，扩产能巩固领先地位,吕明可选消费研究
726,2020-11-30,照着天猫超市买股票 有戏吗？,亿邦动力
727,2020-11-26,轻工制造：数字化变革蕴含巨大机会 多龙头有望获超额收益,巨丰财经
728,2020-11-25,轻工制造2021年投资策略：潮流浩荡 精益争先,新浪
729,2020-11-24,踩雷比克动力，拟上市的创益通才计提损失17%，或虚增利润近千万 欺诈造假,新浪
730,2020-11-24,公牛集团：完成工商变更登记,乐居财经
731,2020-11-23,轻工制造：10月地产数据显著增长 强者恒强 推荐家居、造纸细分龙头,新浪
732,2020-11-23,轻工制造行业投资周报：10月消费持续复苏 竣工反弹关注地产后周期板块,新浪
733,2020-11-23,电新行业周报：太阳能发电量持续提升 新能源车销量高增长有望持续,新浪
734,2020-11-17,造纸轻工周报：看好C端家居消费及造纸盈利弹性,新浪
735,2020-11-17,【东兴大消费】周观点：疫苗进展显著提振可选消费增长信心,东兴社服
736,2020-11-16,公牛集团五年累盈77亿分红54亿 阮氏兄弟创业25年持股财富超千亿,长江商报
737,2020-11-16,轻工制造双周报20年23期：双十一欧派、索菲亚、洁柔表现突出 持续推荐敏华、梦百合、顾家,新浪
738,2020-11-14,波司登||双十一全渠道表现出色，持续推进新零售运营和数字化转型,吕明可选消费研究
739,2020-11-13,公牛集团(603195)：单季恢复增长 经营维持稳健,新浪
740,2020-11-13,周五机构一致看好的七大金股（11.13）,中金在线
741,2020-11-11,2020年年末主要宽基指数样本股调整预测：电子和医药行业个股升档较多,新浪
742,2020-11-11,轻工制造行业跟踪报告：Q3基金持仓轻工制造占比再提升 持续推荐关注景气度提升的造纸和家居细分行业,新浪
743,2020-11-10,造纸轻工周报：看好C端家居消费及造纸盈利弹性,新浪
744,2020-11-09,公牛集团(603195)：三季度营收恢复快增长 业绩表现超预期,新浪
745,2020-11-09,[互动]公牛集团：未来断路器等产品会围绕公司智能电工生态系统而打造,全景网
746,2020-11-09,【东兴大消费】周观点：进博会召开、双十一蓄力，多重催化四季度持续关注可选消费,东兴社服
747,2020-11-05,秦安股份领衔，近600家A股上市公司追捧！什么期市业务如此“诱人”？,期货日报
748,2020-11-04,近600家A股上市公司今年开展套期保值,期货日报
749,2020-11-02,健盛集团||疫情影响前三季度业绩承压，订单回流期待业绩回弹,吕明可选消费研究
750,2020-11-02,裕同科技||业绩短期波动不改长期趋势，多元布局稳步发展,吕明可选消费研究
751,2020-11-02,【华创轻工纺服】轻工制造行业2020年三季报总结：经营持续回暖，单Q3各子板块收入增速转正,风轻龙跃
752,2020-11-02,11月200只券商金股大梳理，哪类股热度最高,证券时报网
753,2020-11-02,【东兴大消费】周观点：三季度业绩加速改善，关注四季度景气持续赛道,东兴社服
754,2020-11-01,天风家电 | 三季报收官，大家电营收水平环比改善——W43周观点,小蔡看家电
755,2020-11-01,欧普照明(603515)：Q3收入、利润恢复良好增长,广发证券
756,2020-11-01,插座一哥的争夺战中 击败小米的公牛前路并不平坦,投资界
757,2020-11-01,公牛集团(603195)：勤修内功 体系致胜,新浪
758,2020-10-31,公牛集团(603195)：Q3墙开回暖 收入改善显着,新浪
759,2020-10-30,石头科技||Q3业绩大超市场预期，境外收入持续高增长,吕明可选消费研究
760,2020-10-30,思摩尔国际||盈利能力继续提升，2020Q3扣非后利润再超预期,吕明可选消费研究
761,2020-10-30,【华创轻工纺服】公牛集团（603195）2020年三季报点评：三季度营收恢复快增长，业绩表现超预期,风轻龙跃
762,2020-10-30,五粮液创新高 有望成深市首只万亿市值股,证券时报
763,2020-10-29,公牛集团||Q3业绩强势复苏，继续看好全年表现,吕明可选消费研究
764,2020-10-29,晚间重要公告2020年10月29日星期四,Wind
765,2020-10-29,公牛市值突破1200亿，深耕大消费领域的高瓴有哪些不可复制的秘诀？,凤凰网
766,2020-10-29,公牛集团大涨逾8%站上200元大关 盘中一度涨停创新高,证券时报网
767,2020-10-29,公牛集团(603195)：经营超预期 优质质地强化,新浪
768,2020-10-29,A股收盘综述：上证指数录升0.11%连续三日小涨，热门板块尾盘滑落,Wind
769,2020-10-29,见证历史！深市首只万亿市值股票，已步步逼近！社保和QFII也踩雷，700亿医药牛股闪崩 连续下跌,证券时报
770,2020-10-29,解盘：百亿资金流入，大消费拉升，白酒、疫苗概念领涨,Wind
771,2020-10-29,A股午盘综述：上证指数半日微涨，白酒汽车家电推升大市、绩优明星股批量创新高,Wind
772,2020-10-29,公牛集团封住涨停，市值突破1200亿元再创新高,Wind
773,2020-10-29,快讯：家电板块持续拉升 公牛集团涨停,新浪
774,2020-10-29,公牛集团：细分领域市占率第一 进一步拓宽新业务,巨丰财经
775,2020-10-29,公牛集团：Q3业绩强劲回升，民用电工龙头稳步前行【华西轻工徐林锋团队】,轻工锋尚
776,2020-10-29,公牛集团(603195)：受益装修市场需求恢复 重归稳健增长通道,新浪
777,2020-10-28,顾家家居||2020Q3业绩超出预期，下游需求有望继续回暖,吕明可选消费研究
778,2020-10-28,公牛集团公布三季报 前三季净利减少8.77% 盈利能力下降,新浪
779,2020-10-28,公牛集团：前三季度营收净利双降 净利同比下降8.77% 盈利能力下降,乐居财经
780,2020-10-28,公牛集团(603195.SH)前三季度净利润降8.77%至15.99亿元 盈利能力下降,格隆汇
781,2020-10-28,公牛集团：前三季度净利润同比减少8.77%,Wind
782,2020-10-28,犀牛财经晚报：海澜之家前三季净利降50% 威马汽车再现起火爆炸,GPLP犀牛财经
783,2020-10-27,九阳股份||2020Q3公司收入端快速增长，利润端略低于预期,吕明可选消费研究
784,2020-10-27,公牛集团：新增产能项目预计2024年达产,Wind
785,2020-10-26,【东兴大消费】周观点：9月社零同比增长3.3%，消费持续复苏,东兴社服
786,2020-10-25,轻工双周报||家具零售增速显著回暖，继续推荐定制家居龙头 - 拷贝,吕明可选消费研究
787,2020-10-22,插座一哥狙击战，公牛何以击败小米？,DoNews
788,2020-10-22,家电行业9月数据点评：需求回，线上高增，维持“增持”评级,中泰证券
789,2020-10-21,石头科技||新品配件全面升级H6，预计Q3继续维持较高增速,吕明可选消费研究
790,2020-10-19,开润股份∣∣与阿里战略合作，打造C2M闭环,吕明可选消费研究
791,2020-10-19,【东兴大消费】周观点：内需、出口皆有亮点，关注三季度业绩继续回暖,东兴社服
792,2020-10-14,公牛集团：公司智能产品已实现与阿里、百度等物联网平台云云对接,发布易
793,2020-10-14,小熊电器||前三季度业绩高速增长，Q4电商旺季有望再创佳绩,吕明可选消费研究
794,2020-10-14,"净利大降24%，上市前""清仓式""分红，公牛集团到底值不值1000亿？ 盈利能力下降",云掌财经
795,2020-10-14,新宝股份||2020Q3业绩超预期，自主品牌拉动内销高速增长,吕明可选消费研究
796,2020-10-13,高瓴资本概念股普遍活跃，公牛集团、金域医学、甘李药业、凯莱英等大涨,Wind
797,2020-10-12,【东兴大消费】周观点：长假催化消费加速回暖，内循环持续发力,东兴社服
798,2020-10-12,击败小米的不止格力，还有公牛,亿欧网
799,2020-10-11,中顺洁柔||2020Q3业绩预告维持高增，积极关注三个预期差,吕明可选消费研究
800,2020-10-09,家用电器行业业绩前瞻：Q3环比继续改善,新浪
801,2020-10-06,浙江“慈溪首富”或神秘浮现？5位百亿先生，三人身价过450亿,搜狐
802,2020-10-05,击败小米的不止格力，还有公牛,钛媒体
803,2020-09-27,轻工制造行业投资周报：黄金周将至 聚焦可选消费与造纸提价行情,新浪
804,2020-09-26,公牛还能“牛”多久？,搜狐
805,2020-09-24,公牛集团：特别人才持股计划成交5000.4万元,乐居财经
806,2020-09-24,公牛集团(603195.SH)：2020年特别人才持股计划完成股票购买,格隆汇
807,2020-09-24,开润股份||参股优衣库核心供应商，2B业务剑指A股小申洲,吕明可选消费研究
808,2020-09-24,中泰证券：8月家电行业稳健复苏 建议把握两条投资主线（附股）,证券时报网
809,2020-09-23,中小券商谋突围：民生以量取胜，东莞国元发力创业板,第一财经
810,2020-09-21,合集|【华创轻工纺服】公牛集团个股+行业深度研究合集（持续研究，不断更新）,风轻龙跃
811,2020-09-20,电新行业周报：8月光伏新增装机同比增长 充电桩维持快速增长趋势,新浪
812,2020-09-14,轻工制造行业投资周报：后疫情时代消费回暖 关注低估值、业绩修复超预期标的,新浪
813,2020-09-13,合集|【华创轻工纺服】公牛集团个股+行业深度研究合集（持续研究，不断更新）,风轻龙跃
814,2020-09-08,家电双周报||行业数据持续改善，新推荐跨境电商龙头安克创新,吕明可选消费研究
815,2020-09-08,轻工行业2020年中报总结：家居复苏 造纸新周期 笔纸烟成长 电工恒强,新浪
816,2020-09-07,十大基金公司 “最爱个股”曝光：易方达和交银、富国争抢科创板,新浪
817,2020-09-07,【华创轻工】轻工制造行业2020年中报总结：上半年整体经营承压，单二季度环比改善,风轻龙跃
818,2020-09-06,纺服周观点||纺服中报总结：行业于Q2触底反弹，继续看好运动服饰及电商板块,吕明可选消费研究
819,2020-09-05,电新行业周报：光伏市场前景良好 电解液环节盈利有望修复,新浪
820,2020-09-05,索菲亚||深度复盘：潜心变革近二载，又到一鸣惊人时,吕明可选消费研究
821,2020-09-04,公牛集团(603195)：全面进击 公牛升级,新浪
822,2020-09-04,公牛还“牛”吗？|品质公司,和讯
823,2020-09-02,北鼎股份||高端养生小家电领军者，自主品牌内销表现亮眼,吕明可选消费研究
824,2020-09-02,核心产品营收增速趋缓！“插座一哥”公牛集团能否重回巅峰？,投资时报
825,2020-09-02,公募基金持股集中度大幅提升,Wind
826,2020-08-30,太阳纸业||2020H1业绩符合预期，上行周期有望逐步开启,吕明可选消费研究
827,2020-08-29,二季度QFII新进增持179只个股,Wind
828,2020-08-28,家电周观点||家电中报总结：Q2业绩触底反弹，小家电表现亮眼,吕明可选消费研究
829,2020-08-28,老板电器||2020Q2业绩改善显著，新兴厨电品类增速较好,吕明可选消费研究
830,2020-08-28,小熊电器||业绩接近预告上限，看好渠道、品类、产能扩张,吕明可选消费研究
831,2020-08-28,裕同科技||2020H1业绩超出预期，继续看好“1+N”业务布局,吕明可选消费研究
832,2020-08-28,公牛集团募资只为存银行？关联交易或涉嫌“美化”报表,凤凰网
833,2020-08-27,开润股份||上半年疫情影响业绩，2C端扩品类、扩品牌是亮点,吕明可选消费研究
834,2020-08-26,新宝股份||2020Q2业绩超市场预期，摩飞内销持续高增长,吕明可选消费研究
835,2020-08-26,九阳股份||2020Q2业绩超市场预期，新产品新渠道拉动增长,吕明可选消费研究
836,2020-08-26,安踏体育||2020 H1 上半年业绩超预期， DTC 转型有望持续提升 收入规模及盈利能力,吕明可选消费研究
837,2020-08-26,申洲国际||上半年业绩超预期，全球OEM龙头的抗压性凸显,吕明可选消费研究
838,2020-08-26,公牛集团携手上上签 电子签约赋能新零售时代,砍柴网
839,2020-08-26,251股获券商买入评级 中国核电目标涨幅达71.12%,Wind
840,2020-08-25,思摩尔国际||盈利能力持续快速提升，2020H2维持高增长可期,吕明可选消费研究
841,2020-08-23,【华创轻工】公牛集团（603195）2020年中报点评：Q2经营改善，持续推进产品创新与渠道协同,风轻龙跃
842,2020-08-23,南极电商||GMV逆势高增长，2020Q2现金流显著改善,吕明可选消费研究
843,2020-08-23,家电行业7 月数据点评：短期扰动下增速放缓,新浪
844,2020-08-22,公牛集团(603195)2020半年报点评：持续夯实产品与渠道 Q2环比改善明显,新浪
845,2020-08-22,“插座一哥”公牛还能不能牛？净利下滑24％，创始人阮氏兄弟身家跌出千亿 盈利能力下降,腾讯网
846,2020-08-21,公牛集团B端业务大突破 第二季营收环比劲增97.78%,产业经济新闻网
847,2020-08-20,科沃斯||2020Q2收入改善显著，净利率如期继续提升,吕明可选消费研究
848,2020-08-20,“排插一哥”公牛集团增长乏力 上半年净利润降至8.04亿元 盈利能力下降,GPLP犀牛财经
849,2020-08-19,【东吴电新】公牛集团20Q3点评：单季恢复增长，毛利环比改善,新兴产业汇
850,2020-08-19,公牛集团(603195)：Q2加速恢复 逆势巩固渠道、丰富产品线,新浪
851,2020-08-19,公牛集团发布上市后首份中报 第二季度业绩实现较快恢复,证券日报
852,2020-08-19,公牛集团(603195)：需求复苏业绩回暖 多渠道协同孕育新机遇,西南证券
853,2020-08-19,公牛集团(603195)：修内功 走远路 二季度营收环比改善明显,国金证券股份有限公司
854,2020-08-19,31公司获得增持评级-更新中,中财网
855,2020-08-19,公牛集团(603195)：公司环比改善明显 产品端持续创新,新浪
856,2020-08-19,公牛集团(603195)半年报点评：业绩符合预期 公司具备长期成长性,新浪
