,2021-12-31,晶盛机电：公司正加快推进第三代半导体材料碳化硅衬底片的产业化布局，已成功生长出6英寸碳化硅晶体,每日经济新闻
1131,2020-07-26,电气设备行业周报：光伏行业进入高景气周期 特斯拉Q2业绩超预期,新浪
1132,2020-07-26,电力设备第31周周报：光伏产业链价格全面上涨 特斯拉连续4个季度盈利,新浪
1133,2020-07-24,光伏行业供需持续向好 六股腾飞在即掘良机,证券时报
1134,2020-07-23,财报解读 | 连城数控：毛利率走低业绩“开倒车” 关联方贡献超六成营收,金融界
1135,2020-07-23,全志科技封住涨停，晶盛机电、捷佳伟创、晶丰明源等多只半导体股跟涨,Wind
1136,2020-07-22,新能源设备：上半年风电业绩高增 下半年光伏需求明显改善,新浪
1137,2020-07-21,靠“光伏一哥”扶持？连城数控七成营收依赖关联方隆基股份,中国经营网
1138,2020-07-20,【华创机械 | 周观点】光伏全产业链布局趋势显现，光伏设备行业有望迎来新看点,华创机械
1139,2020-07-20,电力设备第30周周报：宁德时代定增落地 组件跌价趋势渐缓,新浪
1140,2020-07-20,【华创机械 | 点评】晶盛机电2020年三季报点评：盈利稳健增长，光伏设备订单高增，半导体设备打开新局面,华创机械
1141,2020-07-17,机械行业周报：6月挖机销售增速约63％ 预计景气有望持续,新浪
1142,2020-07-17,电气设备光伏行业复盘深度报告：技术迭代成本下降 全球共振演绎成长,新浪
1143,2020-07-17,参投中芯国际 加码大硅片产能 中环股份半导体布局提速,凤凰网
1144,2020-07-17,64股获券商买入评级 长安汽车目标涨幅达71.23%,Wind
1145,2020-07-16,【东吴机械陈显帆】周观点：中环大硅片项目进展顺利利好核心设备商，持续看好低估值高增长的工程机械龙头,透视先进制造
1146,2020-07-16,晶盛机电 | 点评：中环半导体大硅片项目进展顺利，看好核心设备商订单加速,透视先进制造
1147,2020-07-16,"晶盛机电现1笔大宗交易 共成交1,397.46万元",新浪
1148,2020-07-16,晶盛机电今日大宗交易成交49.12万股，成交价28.45元溢价16.6%,Wind
1149,2020-07-16,晶盛机电(300316)：中环混改尘埃落定 半导体设备订单加速推进,新浪
1150,2020-07-16,捆绑巨头 晶盛机电有苦难言,北极星电力
1151,2020-07-15,姚老板又来了！宝能系开启转型产业之路,Wind
1152,2020-07-14,芯片股整体低迷，韦尔股份、兆易创新逆市上涨,Wind
1153,2020-07-13,电力设备行业周报：6月新能源车销量环比增20% 光伏电池片价格微涨,新浪
1154,2020-07-13,机械行业周报：大众MEB10月启动运营 关注供应链设备标的,新浪
1155,2020-07-13,机械设备行业周报：6月挖机持续高增 激光行业全年增速可期,新浪
1156,2020-07-12,电气设备行业周报：6月国内新能源车销量环比加速 关注风电中报行情,新浪
1157,2020-07-08,晶盛机电(300316)：中环50亿定增获核准 半导体订单落地加速,新浪
1158,2020-07-08,机械行业2020年中期投资策略：围绕五大趋势 掘金长线机会,新浪
1159,2020-07-06,机械设备行业研究周报：继续看好通用自动化 孚能获戴姆勒入股带动产能扩张趋势向上,新浪
1160,2020-07-06,电力设备第28周周报：特斯拉6月销量创新高 供需偏紧硅料涨价,新浪
1161,2020-07-06,【太平洋机械】机械行业周报20200704：工业机器人国产化加速，明星企业“扎堆”上市,太平洋机械大讲堂
1162,2020-07-05,半导体设备｜重要点评：中芯国际战略配售覆盖核心设备商材料商，深入绑定发展加速,透视先进制造
1163,2020-07-05,电气设备行业周报：多晶硅料价格开始反弹 欧洲6月新能源车销量恢复高增,新浪
1164,2020-07-03,机械行业周报：竞价项目落地 光伏设备板块有望持续向好,新浪
1165,2020-07-02,新兴能源行业：硅料长期跌价终结 供需反转涨价启动,新浪
1166,2020-07-01,半导体系列研究之五：三季度半导体硅片价格或小幅下降,新浪
1167,2020-06-29,自动化行业投资周报：继续看好苹果产业链复苏带来的自动化机遇,新浪
1168,2020-06-29,晶盛机电(300316.SZ)：签订全自动晶体生长炉及单晶硅棒截断机合同 合同额合计约12.27亿元,格隆汇
1169,2020-06-29,电力设备行业快报：光伏竞价项目落地 总规模26GW超预期,新浪
1170,2020-06-29,机械行业研究周报：扩产及新技术双轮驱动 继续推荐光伏设备,新浪
1171,2020-06-28,【太平洋机械】机械行业周报20200627：扩产及新技术双轮驱动，继续推荐光伏设备,太平洋机械大讲堂
1172,2020-06-28,电力设备第27周周报：风光5月装机环比改善 双积分新规考核要求提高,新浪
1173,2020-06-28,电新周报：受预期改善光伏板块领涨 关注半年报行情,新浪
1174,2020-06-28,机械设备行业周报：光储时代已经到来？,新浪
1175,2020-06-28,电气设备行业周报：光伏产业链价格映射需求景气 新能源车双积分修正案公布,新浪
1176,2020-06-28,电新行业周报：光伏产品价格有望企稳 新能源车产业迈向高质量发展,新浪
1177,2020-06-24,浙商机械 邱世梁||王华君 光伏设备深度：“大尺寸”带来新一轮迭代需求-光伏设备年度策略报告之一,高端装备制造及材料
1178,2020-06-23,103家公司获机构调研（附名单）,证券时报网
1179,2020-06-22,半导体行业点评报告：半导设备&材料 景气度可望加速回归,新浪
1180,2020-06-22,机械设备行业研究周报：多项数据好转 机器人行业有望迎来新周期,新浪
1181,2020-06-22,兴证张忆东：风格再平衡，“硬科技”吸引力提升,张忆东策略世界
1182,2020-06-22,上市公司正负面新闻2020年6月22日星期一,Wind
1183,2020-06-20,上市公司正负面新闻2020年6月20日星期六,Wind
1184,2020-06-19,下周220亿市值限售股解禁，环比增加11.58% 解禁,Wind
1185,2020-06-19,晚间重要公告2020年6月19日星期五,Wind
1186,2020-06-19,【公告解读】晶盛机电：部分董事拟合计减持不超573万股 拟减持股份,金融界
1187,2020-06-19,负面！晶盛机电：部分董事计划减持公司股份合计不超过573万股 拟减持股份,每日经济新闻
1188,2020-06-19,晶盛机电(300316.SZ)：3名董事拟合计减持不超573万股 拟减持股份,格隆汇
1189,2020-06-19,晶盛机电：三名董事合计拟减持不超过总股本0.4461% 拟减持股份,Wind
1190,2020-06-19,机械设备行业2020年中期策略：高端装备经历疫情考验 更加聚焦技术创新驱动,广发证券
1191,2020-06-18,晶盛机电(300316.SZ)：约157.44万股限制性股票6月23日解禁 解禁,格隆汇
1192,2020-06-18,晶盛机电：157.44万股限售股解禁 解禁,Wind
1193,2020-06-17,电力设备行业中期策略：消纳充足 平价成长,新浪
1194,2020-06-15,机械设备行业研究：挖掘机持续高增 工缝机市场静待拐点,新浪
1195,2020-06-12,6月挖掘机销量增速有望超70%；聚焦龙头【国金机械军工·周报】,国金高端装备制造及新材料
1196,2020-06-11,晶盛机电(300316.SZ)：157.44万股限制性股票可解锁,格隆汇
1197,2020-06-11,半导体设备板块连续拉升，晶盛机电、芯源微、中微公司大涨,Wind
1198,2020-06-10,晶盛机电：位居2019年中国半导体设备十强首位,Wind
1199,2020-06-10,晶盛机电：位居2019年中国半导体设备十强首位,e公司
1200,2020-06-10,103家公司获机构调研（附名单）,证券时报网
1201,2020-06-09,国防军工行业点评报告：军工白马加大底部配置 持续看好工程机械和半导体设备板块,新浪
1202,2020-06-03,中国半导体硅片：小荷已露尖尖角,新浪
1203,2020-06-03,半导体系列研究之二：海外疫情对半导体设备影响的动态跟踪,新浪
1204,2020-06-02,电子行业2020中期策略报告：5G创新持续 半导体国产空间大,新浪
1205,2020-06-02,【机械*陈显帆】大硅片管制加强，国产设备和材料供应商有望崛起,东吴研究所
1206,2020-06-01,晶盛机电(300316.SZ)年报推10派1元 股权登记日6月9日,格隆汇
1207,2020-06-01,【大硅片专题】大硅片管制加强，国产设备和材料供应商有望崛起【东吴机械】,透视先进制造
1208,2020-06-01,机械行业研究：工程机械基本面强劲 估值提升长期驱动,新浪
1209,2020-06-01,22股获券商买入评级，晶盛机电目标涨幅达63.55%,Wind
1210,2020-06-01,ETF基金净份额变动揭示资金动向，芯片、5G和电子等受青睐,证券日报
1211,2020-05-29,MSCI尾盘数亿元扫货，北上5月吸金300亿,Wind
1212,2020-05-29,【国元机械】晶盛机电跟踪报告：硅晶盛宴，行稳致远,国元高端装备
1213,2020-05-28,电子股持仓比例小幅下滑 基金偏好配置细分领域龙头、新基建,金融界
1214,2020-05-26,国防军工行业周报：军工逆周期价值凸显 工程机械、半导体设备进入景气周期,新浪
1215,2020-05-25,【国盛电新|周报】德国新能源车政策再加码，各省可再生能源消纳责任权重下发,电新硬核研究
1216,2020-05-24,今年光伏新增消纳有望达47GW，二季度新增装机料迎高峰,Wind
1217,2020-05-22,20股获券商买入评级 常山北明目标涨幅达49.41%,Wind
1218,2020-05-21,电气设备行业：国家电网2020年风电 光伏发电新增消纳能力点评：国网消纳空间落地 国内风电、光伏装机有望超预期,新浪
1219,2020-05-20,电新产业链价格跟踪简报：锂电上游价格小幅下跌 光伏产业链价格走弱,新浪
1220,2020-05-20,电新行业周报：光伏需求迎向上拐点 磷酸铁锂特斯拉车型进目录,新浪
1221,2020-05-18,【研报掘金】美对华为制裁升级大基金二期投资加速 国产替代逻辑加强,证券时报网
1222,2020-05-18,一则消息撬动了涨停板，事关国产半导体突围！产业链个股仔细看,e公司
1223,2020-05-14,深度*行业*半导体设备国产化专题九：清洗设备-清洗设备国产化率与刻蚀设备国产化率基本持平 盛美是12寸线清洗设备国产化关键推动者,新浪
1224,2020-05-14,中环股份(002129)：半导硅片厚积薄发 特有赛道独树一帜,新浪
1225,2020-05-13,策略专题：202005MSCI中国A股调整报告,新浪
1226,2020-05-06,【机械*陈显帆】光伏设备行业年报及一季报总结：2019年收入维持高增速，看好下游技术迭代带来设备空间+盈利能力提升,东吴研究所
1227,2020-05-05,【光伏设备】2019年报及2020一季报总结：2019年收入维持高增速，看好下游技术迭代带来设备空间+盈利能力提升,透视先进制造
1228,2020-04-30,强者恒强！半导体增收增利，机构重仓股逆势大涨,Wind
1229,2020-04-30,【机械】晶盛机电（300316）：经营业绩稳健增长，现金流情况大幅改善,东莞证券研究
1230,2020-04-30,去年光伏设备订单超37亿元 晶盛机电G12切片机将推向市场,北极星电力
1231,2020-04-29,晶盛机电（300316）2019年报及2020年一季报点评：订单快速增长，推进产品迭代亮点纷呈，龙头成长有望持续兑现,华创机械
1232,2020-04-29,三大券商周三看好的六大板块,证券之星
1233,2020-04-29,晶盛机电：在手订单饱满 半导体装备和材料业务有序推进,南方财经网
1234,2020-04-28,大基金二期首个投资项目完成签署，两大领域标的受关注丨牛熊眼,第一财经
1235,2020-04-28,晶盛机电：朱亮、张俊等董监高合计减持241.6766万股 减持股份,Wind
1236,2020-04-28,334股获券商买入评级，中广天择目标涨幅达140.52%,Wind
1237,2020-04-27,晶盛机电（300316）：业绩符合预期，订单充足增长可期,CITICS电新
1238,2020-04-27,晶盛机电：在手订单充足 光伏及半导体设备种类不断丰富,东北证券
1239,2020-04-27,【太平洋机械】晶盛机电(300316)公司点评：Q4资产减值影响业绩，大尺寸硅片及半导体设备推进值得期待 资产异常,太平洋机械大讲堂
1240,2020-04-26,【晶盛机电】年报点评：业绩整体符合预期，半导体材料+装备布局日益完善【东吴机械】,透视先进制造
1241,2020-04-26,【国元机械】晶盛机电19年报及20年一季报点评：光伏业绩逐步释放，半导体布局日益完善,国元高端装备
1242,2020-04-25,【华西电子孙远峰团队-持续推荐晶盛机电】产业配套能力增强，平台化布局优势显现,远峰电子
1243,2020-04-25,晶盛机电：2019年计提资产减值准备合计9650万元 资产异常,Wind
1244,2020-04-25,晶盛机电(300316.SZ)：2019年度净利润升9.49%至6.37亿元拟10派1元,格隆汇
1245,2020-04-25,晶盛机电(300316.SZ)：一季度净利升6.27%至1.34亿元,格隆汇
1246,2020-04-24,晶盛机电：2019年净利润同比增长9.49%,Wind
1247,2020-04-24,晶盛机电：一季度净利润同比增长6.27%,Wind
1248,2020-04-17,晶盛机电大涨5.47%，成交额2.17亿元,中新经纬
1249,2020-04-17,2020年企业现状分析 光伏六大股票：隆基、爱旭、通威、迈为、中环、晶盛机电,北极星电力
1250,2020-04-14,【机械】晶盛机电： Q1业绩开门红，全年业绩增速有望逐季抬升,微信
1251,2020-04-12,【太平洋机械】机械行业周报20200411：工程机械行业正在进入“量价齐升”阶段,太平洋机械大讲堂
1252,2020-04-10,晶盛机电预计一季度实现归母净利润1.26亿元以上,证券日报
1253,2020-04-10,晶盛机电（300316）2020年第一季度业绩预告点评：一季度经营稳健，在手订单充足，成长有望持续兑现 【华创机械李佳团队】,华创机械
1254,2020-04-10,84股获券商买入评级 环旭电子目标涨幅达79.92%,Wind
1255,2020-04-09,【晶盛机电】Q1扣非净利预增23-37%，疫情影响下仍实现超预期增长【东吴机械】,透视先进制造
1256,2020-04-09,晶盛机电预计今年一季度最高盈利1.39亿,集邦新能源网
1257,2020-04-08,晶盛机电：预计一季度净利润同比上涨不超10%,中证网
1258,2020-04-08,晶盛机电：一季度预计净利润同比增长0.0%~10.0%,Wind
1259,2020-04-08,晶盛机电(300316.SZ)：一季度净利预增0%-10%,格隆汇
1260,2020-04-02,晶盛机电：国产硅片设备龙头，光伏+半导体齐发力,--
1261,2020-04-01,半导体板块再度发力上扬，国家大基金在出手，入股物联网芯片公司,证券时报网
1262,2020-03-27,晶盛机电(300316.SZ)中标14.25亿元可再生能源太阳能电池用单晶硅材料产业化工程五期项目第二批设备采购项目,格隆汇
1263,2020-03-24,全球确诊超37万！金融市场遭重创，六大产业影响解读,证券时报网
1264,2020-03-24,券商建议“减持”晶盛机电 加重市场对光伏业担忧情绪 减持股份,北极星电力
1265,2020-03-24,79股获券商买入评级 运达股份目标涨幅达75.54%,Wind
1266,2020-03-23,周末证券|大基金二期投资加速启动，半导体设备和材料是重点,半导体网
1267,2020-03-23,晶盛机电预中标中环协鑫14亿单晶大单,集邦新能源网
1268,2020-03-22,【太平洋机械】机械行业周报20200322：工业互联网和制造业大基金，有望成为自动化板块催化剂,太平洋机械大讲堂
1269,2020-03-22,【晶盛机电】14亿光伏大订单落地，硅片新产能周期持续兑现【东吴机械】,透视先进制造
1270,2020-03-20,晶盛机电(300316.SZ)预中标中环协鑫可再生能源太阳能电池用单晶硅材料产业化工程五期项目第二批设备采购项目,格隆汇
1271,2020-03-17,巨·研究 | 数据显示半导体行业延续回升态势 大基金二期将展开投资 利好设备商,巨丰财经
1272,2020-03-13,大基金二期要来了！业内预计最快三月底投资（附受益股）,证券时报网
1273,2020-03-12,本土半导体设备企业增长有望加速 关注3股,证券时报网
1274,2020-03-08,【国盛机械·周报】新产品维度下龙头公司收入弹性比较,高端装备风向标
1275,2020-03-02,业绩飘红！中环股份、阳光电源、东方日升等光伏企业公布2019年业绩快报,集邦新能源网
1276,2020-03-02,226股获券商买入评级 联瑞新材目标涨幅达71.56%,Wind
1277,2020-02-29,大幅上调目标价策略（2月29日）,Wind
1278,2020-02-28,晶盛机电2019业绩快报：净利润6.36亿元 较上年同期增长9.17%,北极星电力
1279,2020-02-27,晶盛机电：2019年净利润同比增9.17%（业绩快报）,Wind
1280,2020-02-27,晶盛机电(300316.SZ)业绩快报 2019年度净利升9.17%至6.36亿元,格隆汇
1281,2020-02-26,上证指数收盘跌0.8%，创业板指跌超4%,Wind
1282,2020-02-26,机构资金最近入驻这些股,证券时报网
1283,2020-02-25,晶盛机电：HIT电池产业化会扩大对N型硅片的采购需求,Wind
1284,2020-02-24,【麒麟研报】半导体再度大涨 券商推荐这些股,新浪
1285,2020-02-23,【太平洋机械】晶盛机电(300316)点评：半导体客户扩产，公司有望受益,太平洋机械大讲堂
1286,2020-02-22,机构集体出逃寒锐钴业 知名游资抢筹TCL科技,南方财经网
1287,2020-02-20,这些股表现超机构预期 还有22股获机构上调评级,金融界
1288,2020-02-20,2月20日A股龙虎榜揭秘，机构抢筹13股,Wind
1289,2020-02-20,晶盛机电(300316.SZ)近期股价涨幅较大不存在应披露而未披露信息,格隆汇
1290,2020-02-20,晶盛机电涨停，机构席位买入2296万元,第一财经
1291,2020-02-20,晶盛机电龙虎榜数据（2月20日）,Wind
1292,2020-02-20,晶盛机电加速涨停，外资交投活跃,Wind
1293,2020-02-19,全国半导体行业复工率超六成，两类相关标的将是投资首选丨牛熊眼,第一财经
1294,2020-02-19,芯片股持续走强,Wind
1295,2020-02-19,华泰证券：2020年或是国产半导体设备企业布局良机,Wind
1296,2020-02-17,【太平洋机械】机械行业周报20200215：光伏及锂电新能源需求高景气，设备端受益技术更迭及扩产,太平洋机械大讲堂
1297,2020-02-13,光伏板块井喷，终极抢装潮到了！更有第五次技术革 命，抢筹股名单,证券时报
1298,2020-02-12,国产半导体设备迎业绩兑现期，掘金产业逻辑好景气度佳板块,第一财经
1299,2020-02-07,半导体板块表现强势，年报业绩六成预喜行业崛起可期,第一财经
1300,2020-02-04,晶盛机电股东及高管减持股份时间过半 减持股份,北极星电力
1301,2020-02-03,晶盛机电(300316.SZ)：部分董事、高管减持期过半 合计减持241.68万股 减持股份,格隆汇
1302,2020-02-03,晶盛机电：部分董事、高管合计减持785万股，减持时间过半 减持股份,Wind
1303,2020-01-29,开源晨会0202丨经济的高点或已出现；神火股份、晶盛机电、中国长城等,开源证券研究所
1304,2020-01-22,109股昨日获机构买入评级,证券时报
1305,2020-01-21,晶盛机电预计2019年度净利润比上年同期增长：0% -20%,北极星电力
1306,2020-01-20,晶盛机电：预计2019年净利润同比增长0.0%-20%,Wind
1307,2020-01-20,晶盛机电(300316.SZ)：2019年净利预增0%-20%,格隆汇
1308,2020-01-16,【晶盛机电】受益于光伏技术迭代和半导体设备国产化【东吴机械】,透视先进制造
1309,2020-01-15,【东吴晨报0117】【行业】电新【个股】欧派家居、中联重科、博迈科、晶盛机电,东吴研究所
1310,2020-01-02,【半导体设备12月数据点评】持续看好下游终端需求爆发带来的设备机会【东吴机械】,透视先进制造
1311,2020-01-02,【华创机械】晶盛机电2020年半年报点评：在手订单充足，光伏设备受益下游扩产，半导体设备开发持续获突破,华创机械
1312,2019-12-29,国家大基金二期来了！半导体材料行业中这些潜力龙头股最受青睐,巨丰财经
1313,2019-12-28,国产半导体设备多年沉淀终爆发！2020制程、测试、硅片设备全面开花,凤凰网
1314,2019-12-27,两融余额四连升68.61亿增量杠杆资金进场,证券时报网
1315,2019-12-27,半导体板块再度被点燃 大涨过后是否还有上车机会,投资者网
1316,2019-12-26,【机构风向标】机构强推，一网打尽锂、TWS耳机、光伏等热门概念,证券时报
1317,2019-12-26,晶盛机电(300316.SZ)：5名董事及高管已合计减持241.68万股 减持股份,格隆汇
1318,2019-12-26,晶盛机电：傅林坚等5人减持0.1881%公司股份 减持股份,Wind
1319,2019-12-26,两融余额三连升37.15亿增量杠杆资金进场,证券时报网
1320,2019-12-26,两融余额小幅上升较前一交易日增加20.95亿元,证券时报网
1321,2019-12-26,A股估值吸引力仍在，主力资金恋战科技股,Wind
1322,2019-12-25,12月25日A股龙虎榜揭秘，机构最青睐4股,Wind
1323,2019-12-25,晶盛机电龙虎榜数据（12月25日）,Wind
1324,2019-12-25,晶盛机电放量涨停，机构集体抛货,Wind
1325,2019-12-25,12月25日午后主力巨资出逃四大板块(附股),金融界
1326,2019-12-25,晶盛机电大幅拉升8.29% 股价创近2个月新高,金融界
1327,2019-12-25,快讯：晶盛机电涨停 报于16.59元,金融界
1328,2019-12-25,【东吴机械陈显帆】周观点：12月制造业复苏有望强化，三桶油2020年资本开支有望持续高增速,透视先进制造
1329,2019-12-14,下周401亿市值限售股解禁，环比增加95.22% 解禁,Wind
1330,2019-12-12,晶盛机电(300316.SZ)：40.8万股限制性股票12月17日解禁 解禁,格隆汇
1331,2019-12-11,晶盛机电(300316.SZ)签订2.151亿元设备销售合同,格隆汇
1332,2019-12-10,光伏企业三季报——市场波澜不惊 企业各自安好,北极星电力
1333,2019-12-09,晶盛机电(300316.SZ)签订12.1亿元全自动晶体生长炉采购合同,格隆汇
1334,2019-12-05,光伏升级 风电抢装持续景气 六股掘良机,证券时报网
1335,2019-12-04,晶盛机电(300316.SZ)：40.8万股限制性股票解锁条件已成就,格隆汇
1336,2019-11-29,寻找高景气细分行业——半导体设备将迎转机之年,财富动力网
1337,2019-11-27,晶盛机电大幅拉升0.08% 股价创近2个月新高,金融界
1338,2019-11-26,【金财富决策参考】2019-11-27,赢家之星
1339,2019-11-26,晶盛机电：公司目前订单情况较好，产能能够满足现有订单需求,Wind
1340,2019-11-25,【东吴机械陈显帆】周观点：PMI重回景气区间，看好油服国内高景气与进军海外逻辑兑现,透视先进制造
1341,2019-11-25,【机械】行业点评：半导体设备国产化专题七：硅片生长及加工设备：超80%设备依赖进口，但国产化率有上升趋势* 强于大市,中银国际证券研究
1342,2019-11-21,【东吴机械陈显帆】周观点：宝马加速电动车全球化进程，持续推荐高景气油服板块,透视先进制造
1343,2019-11-15,晶盛机电受益光伏巨头扩产 中标14亿项目三季度净利上涨四成,华夏时报
1344,2019-11-14,晶盛机电(300316.SZ)拟开展不超12亿元票据池业务,格隆汇
1345,2019-11-11,晶盛机电单季扣非净利增近五成 研发投入4年增6倍,新浪
1346,2019-11-08,近700股获买入评级 15股预测上涨空间超两成,证券时报
1347,2019-11-07,晶盛机电中标中环协鑫14.28亿元单晶硅材料项目采购,北极星电力
1348,2019-11-06,晶盛机电(300316.SZ)中标14.247亿元的中环协鑫设备采购项目,格隆汇
1349,2019-11-05,[路演]晶盛机电：12英寸半导体级单晶炉已量产,全景网
1350,2019-11-04,晶盛机电大订单或将如期而至 深度受益单晶硅扩产潮,中银国际
1351,2019-11-04,【电新】2019年三季报综述:板块业绩有所下滑，盈利质量明显提升*强于大市 盈利能力下降,中银国际证券研究
1352,2019-11-04,【机械*陈显帆】深度：行业单季度业绩增速放缓， 工程机械、油服等板块持续高景气 盈利能力下降,东吴研究所
1353,2019-11-04,【机械*陈显帆】大基金二期扶持设备材料，进口替代加速,东吴研究所
1354,2019-11-03,【半导体设备10月数据点评】大基金二期扶持设备材料，进口替代加速,透视先进制造
1355,2019-11-01,【晶盛机电】中标14亿元光伏大订单，光伏大硅片技术迭代将拉长设备需求周期【东吴机械】,透视先进制造
1356,2019-11-01,【晶盛机电】预中标14亿元中环协鑫大单；业绩拐点向上【国金机械军工】,国金高端装备制造及新材料
1357,2019-10-31,晶盛机电(300316.SZ)第三季度净利润升37.38%至2.21亿元,格隆汇
1358,2019-10-31,晶盛机电：预中标14.25亿元中环协鑫设备采购项目,证券时报网
1359,2019-10-31,晶盛机电：成为约14.25亿元项目第一中标候选人,Wind
1360,2019-10-31,晶盛机电(300316.SZ)预中标14.25亿元可再生能源太阳能电池用单晶硅材料产业化工程五期项目第一批设备采购项目,格隆汇
1361,2019-10-30,【安信机械】晶盛机电三季报点评：Q3业绩略超预期，新签订单有望逐步落地,安信机械李哲团队
1362,2019-10-29,【晶盛机电】Q3业绩超预期，预计业绩拐点或到来【东吴机械】,透视先进制造
1363,2019-10-29,晶盛机电：Q3单季度扣非净利润大增48%，业绩拐点向上【国金机械军工】,国金高端装备制造及新材料
1364,2019-10-29,"晶盛机电:三季报业绩亮眼,盈利拐点确认",国元证券
1365,2019-10-28,【国盛机械·三季报点评】晶盛机电：重回增长轨道，收入订单双双上行,高端装备风向标
1366,2019-10-28,晶盛机电公布三季报 前三季净利增加5.85%,新浪
1367,2019-10-28,晶盛机电：前三季度净利润同比增5.85%,Wind
1368,2019-10-28,晶盛机电：盈利能力持续增强 买入评级,华金证券
1369,2019-10-25,"机械行业周报:半导体产业存在回暖迹象,设备企业有望率先受益",国都证券
1370,2019-10-21,"晶盛机电:订单释放推动单季度业绩创新高,下游扩产助力未来业绩持续上行",证券之星
1371,2019-10-16,【可来研选】光伏行业量利齐升，三季度龙头延续高增长，回调即是机会,云掌财经
1372,2019-10-16,晶盛机电：单季度业绩确认或创新高，公司或将获取新订单,证券时报网
1373,2019-10-16,晶盛机电：公司或将获取新订单 强烈推荐评级,东兴证券
1374,2019-10-16,【机械】300316*晶盛机电:单季度业绩释放，新订单呼之欲出*买入,中银国际证券研究
1375,2019-10-16,"晶盛机电2019年前三季度业绩预告点评:Q3业绩预增0%-48.9%,如期扭转上半年颓势",东莞证券
1376,2019-10-16,"晶盛机电三季度业绩预告:业绩拐点得以验证,发展稳定向好",国元证券
1377,2019-10-15,192股获买入评级最新:中航电测,中财网
1378,2019-10-15,晶盛机电：预计前三季度净利润同比增长0%~10%,Wind
1379,2019-10-15,"晶盛机电:深耕半导体设备领域,创新驱动成长",华西证券
1380,2019-10-15,"晶盛机电:Q3单季扣非净利预增29%-61%超预期,业绩拐点到来",东吴证券
1381,2019-10-15,"晶盛机电三季报业绩拐点向上,受益光伏单晶硅扩产、大硅片设备国产化",国金证券
1382,2019-10-14,【东吴晨报1016】【固收】【行业】传媒、电新、机械【个股】绿盟科技、宁德市代、深圳燃气、麦格米特、先导智能、天孚通信等,东吴研究所
1383,2019-10-10,机械制造：积极跟踪和布局具有自主核心优势的智能化和互联网化科技型企业,川财证券
1384,2019-10-10,【光伏设备行业（专题）深度】：平价上网将近，重点关注硅片、电池片设备龙头【国金机械军工】,国金高端装备制造及新材料
1385,2019-10-09,贵州茅台登四大券商金股榜 券商称10月份A股将先抑后扬,证券日报
1386,2019-09-30,[快讯]晶盛机电:关于部分董事、高级管理人员减持股份的预披露 减持股份,中财网
1387,2019-09-30,晶盛机电：多名高管拟合计减持公司0.6114%股份 减持股份,Wind
1388,2019-09-30,33股获券商买入评级 长安汽车目标涨幅达52.10%,Wind
1389,2019-09-30,晶盛机电：新签订单充沛 业绩增速有望回升,Ofweek
1390,2019-09-30,"先进制造行业日报:逢十一长假,光伏产业链价格平稳",东莞证券
1391,2019-09-27,晶盛机电光伏扩产订单兑现，半导体打造成长动力,安信证券
1392,2019-09-27,"光伏设备行业专题报告:行业“伏”摇直上,设备大放“光”彩",东莞证券
1393,2019-09-26,半导体产业链：自主替代，A股特色公司介绍(下篇),Wind
1394,2019-09-26,"晶盛机电:光伏和半导体硅片扩张周期叠加,晶硅设备龙头持续受益",平安证券
1395,2019-09-25,半导体、电子设备：国产设备充分受益 荐8股,广发证券
1396,2019-09-24,工业综合：检修影响供给 多晶硅料价格持续反弹,东莞证券
1397,2019-09-24,汽车：亚马逊向美国RIVIAN订购10万辆电动送货车,东莞证券
1398,2019-09-20,券商研报：下周一致看到这五股,中财网
1399,2019-09-18,电气设备：成长启动弱化周期 荐2股,东莞证券
1400,2019-09-18,电气设备：盈利提升+迎接旺季 荐12股,广发证券
1401,2019-09-15,继续看好科技类企业和传统行业龙头公司的投资机会【天风机械周报19W38】,先进制造观察
1402,2019-09-06,"晶盛机电:光伏设备未来可期,半导体设备市场逐步打开",上海证券
1403,2019-09-05,晶盛机电：半导体设备市场逐步打开 维持评级,上海证券
1404,2019-09-05,电力：新能源车上游利润向中游电池转移 荐7股,华金证券
1405,2019-09-03,晶盛机电(300316.SZ)拟向中环领先增资2.7亿元 深化半导体战略投资布局,格隆汇
1406,2019-09-03,中环股份(002129.SZ)：为保证集成电路用大直径硅片项目顺利实施 中环领先获增资27亿元,格隆汇
1407,2019-09-03,晶盛机电：设备龙头再起航 买入评级,中银国际
1408,2019-09-03,"晶盛机电:订单陆续落地,业绩有望回暖",浙商证券
1409,2019-09-02,"晶盛机电:毛利率保持稳定,经营活动现金流大幅转好,新签订单持续向好",东北证券
1410,2019-08-31,晶盛机电 | 半年报点评：半年报符合预期，未来看点是下游扩张和新产品拓展【天风机械】,先进制造观察
1411,2019-08-30,【安信机械李哲】晶盛机电中报点评：中报业绩符合预期，订单交付支撑后续增长,微信
1412,2019-08-30,【晶盛机电中报点评】中报业绩基本符合预期，未来将受益于硅片扩产+技术迭代【东吴机械】,透视先进制造
1413,2019-08-30,【方正机械】晶盛机电：经营现金流大幅优化，新接订单持续增长——2019年中报点评报告,--
1414,2019-08-30,晶盛机电2019年上半年净利2.51亿 积极开拓新客户,挖贝网
1415,2019-08-30,晶盛机电(300316.SZ)上半年净利降11.92%至2.51亿元 盈利能力下降,格隆汇
