,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
593,2020-10-14,【开源化工】新材料周报：昊华科技前三季度净利大增34%，关注科研试剂国产化机遇,Au化工
594,2020-10-14,【东北基础化工】日报/云图控股前三季度净利润同比增90%至100% 20201013,东北基础化工
595,2020-10-12,化工周报：MDI价格上涨 国内外需求恢复良好 持续关注周期成长股,新浪
596,2020-10-12,53家三季报率先亮相，业绩上修、环比改善成焦点,Wind
597,2020-10-12,外资助力A股10月开门红，金秋行情开启？,上证报
598,2020-10-11,下周操盘攻略：苹果将举行新品发布会，A股三季报披露开启,Wind
599,2020-10-10,三季报密集来袭！9股预增超10倍（名单）,券商中国
600,2020-10-09,2020年10月份上海证券研究所投资组合报告,新浪
601,2020-10-09,88家公司净利翻倍，最高增240倍！三季报预告有惊喜,中证报
602,2020-09-30,【东北基础化工】日报/我国主要油气管道实现并网运行20201001,东北基础化工
603,2020-09-30,【东北基础化工】日报/龙蟒佰利拟投资建设年产3万吨转子级海绵钛项目20200929,东北基础化工
604,2020-09-30,净利至少增200%！三季报业绩抢先看，一批公司逆势大增,证券时报网
605,2020-09-29,化工行业周报：莱特光电闯关科创板 邮政业可降解塑料政策落地,新浪
606,2020-09-29,化工行业周报：Q3化工板块有望迎来业绩反转 持续关注周期成长股,新浪
607,2020-09-28,金发科技68亿元口罩订单被“放鸽子” 延迟披露遭监管 其他违规处罚,GPLP犀牛财经
608,2020-09-28,三季报披露时间表亮相，节后行情将上演？,Wind
609,2020-09-27,石油石化、基础化工、新材料行业北上资金流向周报,新浪
610,2020-09-26,【东北基础化工】日报/晶瑞股份拟进口海力士ASML光刻机设备20200930,东北基础化工
611,2020-09-26,“70亿”狂欢落幕 金发科技被警示!,财富动力网
612,2020-09-25,金发科技公司天价口罩订单事件最新进展，董事长或将负法律责任,搜狐
613,2020-09-25,关于对金发科技股份有限公司、袁志敏、宁凯军采取出具警示函措施的决定 〔2020〕130号 金融监管处罚,广东证监局
614,2020-09-25,【东北基础化工】日报/万华化学上调10月份中国地区MDI价格20200925,东北基础化工
615,2020-09-24,晚间重要公告2020年9月24日星期四,Wind
616,2020-09-24,金发科技信披违规遭警示 股价年内暴涨超120%|资讯焦点 其他违规处罚,第一财经
617,2020-09-24,金发科技：虽遭警示但近期订单量有所抬头|公司问答,第一财经
618,2020-09-24,丢70亿大单，还被处罚，回顾金发科技被“鸽”历程,第一财经
619,2020-09-24,基础化工行业2020年中报总结：疫情影响消退业绩回暖 行业去库存继续进行,新浪
620,2020-09-24,金发科技丢70亿大单后续：隐瞒关键信息信披违规，公司及相关责任人遭警示 其他违规处罚,和讯
621,2020-09-24,时代点金（0924）：借光伏热6连板，双良节能提示风险,时代在线
622,2020-09-24,盘前有料丨今日3只新股申购；发改委：加快新能源汽车充/换电站建设…重要消息还有这些,证券时报
623,2020-09-23,生物医药重返上升通道？,和讯
624,2020-09-23,公告精选丨天山生物称涉嫌虚构客户及交易的情形不实；申通快递获阿里网络举牌，持股比例25%,21世纪经济报道
625,2020-09-23,公告精选丨申通再获阿里资本加持，持股比例达25%,21世纪经济报道
626,2020-09-23,晚间重要公告2020年9月23日星期三,Wind
627,2020-09-23,因重大口罩采购订单事项 金发科技及相关责任人遭警示,北京商报
628,2020-09-23,金发科技：因重大口罩采购订单事项 收到广东证监局警示函 金融监管处罚,e公司
629,2020-09-23,金发科技收到警示函：公司未及时履行重大合同进展信息披露义务 金融监管处罚,Wind
630,2020-09-22,化工周报：聚醚、MDI价格上涨 化工品需求旺季 持续推荐周期成长龙头,新浪
631,2020-09-21,【东北基础化工】日报/万华化学宝思德公司装置复产20200919,东北基础化工
632,2020-09-21,石油化工／基础化工行业周报(第三十八周),新浪
633,2020-09-21,金发科技6万吨PBAT项目明年投产 可降解塑料销往国外,新浪
634,2020-09-18,14省份前8月贸易“成绩单”拆解 中西部外向经济提速，中欧班列助推赣川皖高增长,21世纪经济报道
635,2020-09-17,【东北基础化工】日报/国瓷材料拟引入高瓴资本、松柏投资战略投资者20200916,东北基础化工
636,2020-09-16,金属非金属新材料-可降解塑料：行业《指南》发布 推动禁塑限塑政策落地,新浪
637,2020-09-16,【开源化工】新材料周报：关注氘代化合物在光电、医药领域的应用,Au化工
638,2020-09-16,【东北基础化工】日报/《可降解塑料制品的分类与标识规范指南》已发布20200914,东北基础化工
639,2020-09-14,【东北基础化工】日报/安道麦A首次回购股份20200917,东北基础化工
640,2020-09-11,前7月内销进口277.5亿元！广东海关推稳外贸外资8条：加工贸易免风险担保，先出货后征税,21世纪经济报道
641,2020-09-10,【新材料|国信化工】新材料系列（4）-聚砜：机械性能优秀的耐高温特种工程塑料,化工之诚
642,2020-09-09,可降解塑料成行业“新宠”,北极星节能
643,2020-09-09,易主已满3年 这些公司重组预期升温,上证报
644,2020-09-09,【东北基础化工】日报/沃特股份年产5000吨LCP材料项目建成投产20200907,东北基础化工
645,2020-09-06,这些公司易主三年没动静，已过借壳上市时限,上证报
646,2020-09-04,最严“禁塑令”来了，多家上市公司忙扩产,证券时报
647,2020-09-03,【东北基础化工】日报/阿克苏诺贝尔收购Stahl粉末涂料业务20200904,东北基础化工
648,2020-09-03,【东北基础化工】日报/全球最大规模乙烯装置落地福建 20200903,东北基础化工
649,2020-09-02,【东北基础化工】日报/神马股份重大资产重组事项获中国证监会核准20200905,东北基础化工
650,2020-09-01,多地打响“禁塑”发令枪！上市公司互动平台忙回复，可降解塑料替代迎风口,中证报
651,2020-09-01,有钱未必有货！限塑令引发可降解塑料原料价格大涨,时代在线
652,2020-08-31,【东北基础化工】日报/我国将首次批准登记来自拜耳的四唑虫酰胺、巴斯夫的溴虫氟苯双酰胺等6个新农药20200901,东北基础化工
653,2020-08-28,融资客青睐10股，新华传媒买入占比高达40.31%,Wind
654,2020-08-27,【东北基础化工】日报/万华化学携手三棵树成立联合创新实验室20200828,东北基础化工
655,2020-08-27,【东北基础化工】日报/龙蟒佰利联与三棵树战略合作签约暨联合创新实验室揭牌20200829,东北基础化工
656,2020-08-26,金发科技(600143.SH)拟以不超20亿元债权转股权方式对宁波金发增资,格隆汇
657,2020-08-26,【东北基础化工】日报/联瑞新材半年度净利4276.6万元 同比增长21.52%20200826,东北基础化工
658,2020-08-25,化工周报：MDI、醋酸、DMF等供需格局好的产品持续上涨 坚定看好化工Q3复苏,新浪
659,2020-08-25,上海将加强塑料污染治理 五股绝佳布局良机,证券时报
660,2020-08-24,【东北基础化工】日报/扬农化工上半年实现净利润8.27亿元同比下降2.78% 20200825 盈利能力下降,东北基础化工
661,2020-08-24,石油化工／基础化工行业周报(第三十四周),新浪
662,2020-08-24,金发科技获新纳入富时罗素旗舰指数 经营业绩高速增长,上证报
663,2020-08-24,解盘：人气回升，次新股、生物育种、数字货币领涨,Wind
664,2020-08-23,【东北基础化工】日报/9月1日起深圳禁止使用不可降解塑料袋20200824,东北基础化工
665,2020-08-23,中泰化工周度观点20W34：广东省下发《塑料污染治理意见》 看好生物降解塑料,新浪
666,2020-08-22,最严“限塑令”落地提速，多家公司布局可降解塑料,Wind
667,2020-08-22,最严“限塑令”落地提速多家公司布局可降解塑料,证券时报
668,2020-08-21,【东北基础化工】日报/广东省《关于进一步加强塑料污染治理的实施意见》下发 20200822,东北基础化工
669,2020-08-21,金发科技深陷“神秘的订单” 董事长曾因内幕交易被处罚 金融监管处罚,鲁网
670,2020-08-21,会通新材IPO：巨额商誉“埋雷” 卖塑料的也来科创板浑水摸鱼？ 资产异常,中金在线
671,2020-08-21,上交所问出9亿美元大单幕后神秘买家 金发科技违反保密协议还是信披违规？,中国网
672,2020-08-20,【东北基础化工】日报/万华化学上半年净利润 28.35 亿元，同比下降 49.56% 20200820 盈利能力下降,东北基础化工
673,2020-08-18,一布遮百丑？金发科技需要补上的市值管理课,阿尔法工场
674,2020-08-18,史上最严限塑令带火这种替代品，价格暴涨1.5倍，订单排到明年,每日经济新闻
675,2020-08-18,700多家公司披露半年报业绩，逾半数盈利同比增长,Wind
676,2020-08-17,化工行业周报：黎明院含氟特气项目通过重大专项评审 低端液晶屏价格上涨,新浪
677,2020-08-17,【华安证券 | 中报点评】金发科技：净利润大幅增长，医疗健康业务带来新增量,化工阿尔法
678,2020-08-16,金发科技70亿元大单黄了，公司却称没有损失！有什么猫腻？,上游新闻
679,2020-08-16,金发科技70亿元乌龙大单岂能这样不了了之,红周刊
680,2020-08-16,彤程新材(603650)：Q2业绩环比修复 “以胶为交”跻身北京科华第一大股东,新浪
681,2020-08-14,【天风新材料】可降解塑料行业专题：政策落地进行时，可降解塑料行业将如何发展？,煤炭鑫观点
682,2020-08-14,金发科技68亿元口罩订单买家半遮面 权威数据库难查到匹配公司,每日经济新闻
683,2020-08-14,70亿口罩订单神秘买家现身 他是谁？此前为什么没有披露买家？金发科技回应,每日经济新闻
684,2020-08-14,14日公司新闻聚焦：金发科技披露70亿口罩合同签订经过 美都能源正式终止上市,证券时报网
685,2020-08-14,剩餐打包成为多方共识 可降解塑料产业迎来机遇,和讯
686,2020-08-14,68亿元口罩大单因何终止？神秘美国买家是谁？金发科技回应,新华网
687,2020-08-14,神秘买方“现身”金发科技披露70亿口罩合同签订经过,证券时报
688,2020-08-13,70亿元口罩订单神秘买家是谁？金发科技最新回应来了,21世纪经济报道
689,2020-08-13,金发科技：不存在信息披露不及时的情况,Wind
690,2020-08-13,【财报智读】金发科技2020年中报：净利润增长超三倍，近68亿元口罩订单被“鸽”,面包财经
691,2020-08-13,金发科技（600143）财报点评：半年度业绩创历史新高，产业链上下游同时布局,国信研究
692,2020-08-13,市值涨逾百亿！70亿订单说没就没，金发科技不心疼,云掌财经
693,2020-08-13,金发科技消失的70亿口罩订单：惨不忍睹的卖家秀,新浪
694,2020-08-13,金发科技：净利润增长超三倍 68亿订单被“鸽”,面包财经
695,2020-08-12,金发科技10亿美元口罩订单取消背后：惨不忍睹的卖家秀,新浪
696,2020-08-12,金发科技上半年净利增373.27% 10亿美元口罩大单遭神秘买家“晃点”,GPLP犀牛财经
697,2020-08-12,山科智能募投持地待币耐心十足，销售投入两倍于研发,云掌财经
698,2020-08-12,券商首次关注12股并给予买入评级（8月12日）,Wind
699,2020-08-12,126股获券商买入评级 江苏神通目标涨幅达91.89%,Wind
700,2020-08-12,王亚伟等大佬最新持股曝光，9私募持股超47亿,中国基金报
701,2020-08-12,近10亿口罩大单告吹、净利润增超373%金发科技或操控股价？,中新经纬
702,2020-08-11,清流|70亿订单告吹？金发科技有前科：曾参与联合做局货物空转骗钱,网易
703,2020-08-11,金发科技(600143)：防疫材料贡献主要业绩增量 Q2业绩爆发符合预期,新浪
704,2020-08-11,70亿口罩大单告吹后，金发科技披露上半年医疗健康产品总营收16.30亿元,21世纪经济报道
705,2020-08-11,近68亿口罩出口订单突然告吹！这家企业收上交所关注函 关注函,医药资讯地方台
706,2020-08-11,美国又下毒手？抗疫牛股被坑惨！一半的利润没了！,搜狐
707,2020-08-11,A股早报2020年8月11日星期二,Wind
708,2020-08-11,最新公告透露利好 13只个股有望爆发（08.11）,中金在线
709,2020-08-11,赚钱能力猛增！多家上市公司半年报业绩大爆发,上证报
710,2020-08-11,前脚70亿口罩订单黄了 后脚业绩暴增3.7倍！上交所连夜关注金发科技,证券时报
711,2020-08-11,金发科技披露半年报上交所火线关注巨额合同终止 关注函,证券时报
712,2020-08-11,金发科技70亿元订单说没就没，净利增速远高营收原因为何？ | 中报季,新浪
713,2020-08-10,前脚70亿口罩订单黄了、后脚披露业绩暴增3.7倍 金发科技收监管函 金融监管处罚,证券时报
714,2020-08-10,红星资本局|70亿口罩订单黄了？金发科技被美国买家“放鸽子”，开盘就跌8%,搜狐
715,2020-08-10,前脚70亿口罩订单黄了，后脚披露业绩暴增3.7倍！上交所连夜对这家公司火速下发监管函,证券时报网
716,2020-08-10,70亿没了！口罩大单打水漂，这家公司竟没跌停？,和讯
717,2020-08-10,被美国人耍了？70亿口罩订单突然告吹！这家公司股价大跌，超12万股民踩雷 连续下跌,搜狐
718,2020-08-10,8月10日晚间上市公司十大重磅公告,巨丰财经
719,2020-08-10,傻眼！金发科技68亿口罩订单被爽约，海外出口如何避开“仙人跳”？,新浪医药
720,2020-08-10,化工周报：化工景气指数提升 涨价+成长增量题材领涨,新浪
721,2020-08-10,抗疫牛股的70亿真假订单,搜狐
722,2020-08-10,70亿元订单黄了！口罩牛股遇黑天鹅跌下神坛，13万股民却懵了！,搜狐
723,2020-08-10,金发科技：二季度私募明达资产新进前十大股东,e公司
724,2020-08-10,金发科技：上半年净利同比增373% 完全生物降解塑料销量增49%,e公司
725,2020-08-10,金发科技(600143.SH)：上半年净利同比增373.27%至24.12亿元,格隆汇
726,2020-08-10,金发科技：上半年净利24.12亿元 同比增373%,e公司
727,2020-08-10,金发科技：上半年净利润同比增长373.27%,Wind
728,2020-08-10,一布遮百丑？金发科技需要补上的市值管理课,阿尔法工场研究院
729,2020-08-10,A股收盘：沪指收涨0.75% 轨交股上涨 七月铁路货运量创纪录,英为财情
730,2020-08-10,10亿美元口罩订单说没就没？金发科技须说清这些事,北京日报
731,2020-08-10,近10亿美金的订单黄了！中国卖家遭美国FBI警告,搜狐
732,2020-08-10,金发科技收监管函，70亿口罩订单告吹有何“隐情” 金融监管处罚,第一财经
733,2020-08-10,百万手买单封涨停！2500亿巨额重组引爆周期股,中国基金报
734,2020-08-10,9.75亿美元口罩订单告吹股价大跌 金发科技收监管函 金融监管处罚,金融投资网
735,2020-08-10,金发科技70亿元口罩订单告吹暴跌7% ，订单生产一直没有开始，难道天价合同是忽悠？ 连续下跌,21世纪经济报道
736,2020-08-10,美国客户不交首付 金发科技68亿订单“被放鸽子”,观察者网
737,2020-08-10,解盘：百亿资金流入，广电、大基建、操作系统领涨,Wind
738,2020-08-10,金发科技终止68亿元口罩大单 上交所追问：事前核实对方履约能力没？ 问询,每日经济新闻
739,2020-08-10,金发科技近10亿美元KN95口罩订单终止 开盘暴跌8% 连续下跌,科技新闻网
740,2020-08-10,9.75亿美元口罩合同黄了，金发科技大跌，上交所发监管函丨热公司 金融监管处罚,第一财经
741,2020-08-10,金发科技收到上海证券交易所监管工作函 9.75亿美元口罩合同被问询 金融监管处罚,和讯
742,2020-08-10,石油化工/基础化工行业周报(第三十二周),新浪
743,2020-08-10,70亿口罩订单告吹 金发科技股价开盘跌7.94%,金融界
744,2020-08-10,A股三大指数集体低开 近10亿美元订单飞了金发科技大跌8% 连续下跌,上游新闻
745,2020-08-10,近10亿美元口罩订单告吹 金发科技开盘大跌近8%,新浪
746,2020-08-10,金发科技低开8% 近10亿美元口罩订单终止,网易
747,2020-08-10,被美国人耍了，这公司近70亿口罩大单告吹，买家姓名都是谜,AI财经社
748,2020-08-10,【行情】金发科技低开8%，公司向美国某公司出售97500万美元KN95口罩订单已经终止，因买方未按订单约定支付款项,金十数据
749,2020-08-10,13万股民懵了，美国客户一直没付款，“抗疫牛股”68亿口罩订单告吹，公司回应,每日经济新闻
750,2020-08-10,操盘必读｜金发科技近10亿美元口罩订单黄了；本周有18只新股可打；巴菲特二季度日赚3亿美元,上游新闻
751,2020-08-10,金发科技70亿口罩订单告吹！50%年净利润没了，年内已涨超140%，黑天鹅或早有端倪,证券时报网
752,2020-08-10,犀牛财经早报：李国庆和俞渝被儿子告上法庭金发科技收上交所监管函,GPLP犀牛财经
753,2020-08-10,70亿口罩订单告吹！金发科技被监管追问：对方为啥不能履约 问询,中新经纬
754,2020-08-10,70亿口罩订单告吹！一年净利润一半没了 抗疫牛股最新回应！年内股价已涨140%,21世纪经济报道
755,2020-08-10,未收到买家预付款金发科技终止近10亿美元口罩大单,证券时报
756,2020-08-10,金发科技：收到上交所关于公司特别重大合同终止事项的监管工作函 金融监管处罚,Wind
757,2020-08-10,13万股民懵了！美国客户爽约，翻倍牛股遭遇黑天鹅，70亿口罩订单彻底黄了！公司回应了,中国基金报
758,2020-08-10,突发利空！12万股东踩雷，金发科技近10亿美元KN95口罩订单终止，50%年净利润没了，公司最新回应来了,每日经济新闻
759,2020-08-10,【东北基础化工】日报/振华股份拟收购民丰化工100%股权20200810,东北基础化工
760,2020-08-09,8月10日上市公司重要公告集锦：退市美都将于8月14日被上交所摘牌,证券日报
761,2020-08-09,70亿口罩订单告吹！一年50%净利润没了，抗疫牛股摊事，年内股价已涨超140%，订单黑天鹅或早有端倪,证券时报网
762,2020-08-09,晚间公告精选丨金发科技9.75亿美元口罩出口订单终止；棕榈股份定增议案未获股东大会通过,21世纪经济报道
763,2020-08-09,晚间重要公告2020年8月9日星期日,Wind
764,2020-08-09,金发科技：未收到订单前期款项 子公司9.75亿美元KN95口罩协议终止,中证网
765,2020-08-09,金发科技相关负责人：出口美国的KN95订单尚未开始生产,格隆汇
766,2020-08-09,金发科技终止9.75亿美元KN95口罩合同 经营问题,北青网
767,2020-08-09,"和美国人做生意不靠谱？金发科技近10亿美元口罩大订单黄了！精明股民早已提醒要""小心仙人跳""",金融界
768,2020-08-09,金发科技终止子公司口罩出口订单 涉及金额9.75亿美元,北京商报
769,2020-08-09,金发科技：与美国某公司签订的KN95口罩订单已终止,Wind
770,2020-08-09,金发科技：9.75亿美元KN95口罩订单出口美国特别重大合同因买方未履行合同要求而终止,格隆汇
771,2020-08-09,金发科技：9.75亿美元口罩出口订单已经终止,e公司
772,2020-08-09,【东北基础化工】日报/TIMET关停美国最后一家海绵钛厂20200806 经营问题,东北基础化工
773,2020-08-09,"金发科技收上交所监管函：前期，你公司于2020年5月18日公告与美国某公司签订价值9.75亿美元的KN95口罩特别重大合同，预计产生的净利润总额占公司2019年度经审计净利润的50％以上
问询",金十数据
774,2020-08-07,【东北基础化工】日报/巴斯夫投资扩大亚太区烷氧基化物产能20200807,东北基础化工
775,2020-08-06,龙头连续4个一字涨停！中央两度发文，可降解塑料大风口？概念名单请收藏，券商预测惊人,证券时报
776,2020-08-06,可降解塑料大风口：龙头连续4个一字涨停 概念名单请收藏,证券时报
777,2020-08-06,A股融资融券日报：两融余额增加126.72亿元（8月5日）,Wind
778,2020-08-05,A股融资融券日报：两融余额增加42.15亿元（8月4日）,Wind
779,2020-08-05,可降解塑料迎黄金发展期,大众证券报
780,2020-08-05,【东北基础化工】日报/我国对原产于美国聚苯醚进行反倾销立案调查20200805,东北基础化工
781,2020-08-04,解盘：金融、医药强势，血液制品、数字货币、体外诊断领涨,Wind
782,2020-08-03,石油化工／基础化工行业周报(第三十一周),新浪
783,2020-08-02,【东北基础化工】日报/《国家化肥商业储备管理办法》9月1日施行20200803,东北基础化工
784,2020-07-30,【东北基础化工】日报/巴斯夫宣布将计算所有在售产品碳足迹 20200730,东北基础化工
785,2020-07-29,【东北基础化工】日报/宁夏纳达和宁夏格润拟建马拉硫磷、螺虫乙酯等多个农药原药、制剂及中间体产能 20200821,东北基础化工
786,2020-07-25,【东北基础化工】日报/国光股份拟发3.2亿元可转债用于技改20200725,东北基础化工
787,2020-07-24,【东北基础化工】日报/中化化肥与中国化工订立化肥框架协议20200724,东北基础化工
788,2020-07-22,标准升级系列之二：国家禁塑力度继续加码,华安证券
789,2020-07-22,有色金属行业可降解塑料：政策风将起 未来大可期,新浪
790,2020-07-22,政策风起，可降解塑料产品替代将加速，关注行业龙头,证券时报网
791,2020-07-21,金发科技：聚乳酸项目进入环评 可降解王者地位明确,中信证券
792,2020-07-20,太稀缺！连续3年中报高增长股票名单，近半数成十倍牛股,凤凰网
793,2020-07-20,化工周报：至暗时刻已过 需求陆续复苏 强推具备阿尔法龙头标的,新浪
794,2020-07-20,金发科技上半年预盈超23亿创27年来纪录 自主研发百余种高端产品申请专利近3000件,长江商报
795,2020-07-19,【东北基础化工】日报/九部门联合发文：要求扎实推进塑料污染治理工作20200720,东北基础化工
796,2020-07-19,公用事业行业周报：环保板块自七月来表现亮眼 持续推荐低估值标的,新浪
797,2020-07-17,机构密集上调个股业绩预测，最高调增14倍，真有价值吗？,红周刊
798,2020-07-17,2020年中国改性塑料行业市场分析：市场规模将近1400亿元 金发科技产销量遥遥领先,前瞻研究院
799,2020-07-17,【行业动态|国信化工】改性塑料行业：半年度业绩集体爆发， 改性塑料行业复苏趋势不改,化工之诚
800,2020-07-16,【东北基础化工】日报/金丹科技半年度净利润6540.79万元同比增加13.84％20200717,东北基础化工
801,2020-07-15,【东北基础化工】日报/红宝丽PO项目验收通过 20200716,东北基础化工
802,2020-07-15,110股获券商买入评级 伊之密目标涨幅达98.19%,Wind
803,2020-07-14,【东北基础化工】日报/蓝晓科技预计半年度净利润约1.14亿元~1.42亿元 20200715,东北基础化工
804,2020-07-14,抛货效果有限，纱企竞价压力增加；粘胶短纤低价传闻是否月底成真？,纺织网
805,2020-07-14,"【行情】口罩股全线重挫，南卫股份跌停，延江股份、振德医疗均大跌逾8%，道恩股份、金发科技、祥生医疗等个股均纷纷下挫
连续下跌",金十数据
806,2020-07-14,81股获券商买入评级 三聚环保目标涨幅达79.79%,Wind
807,2020-07-14,【东北化工陈俊杰/王栋】金发科技（600143）：防疫产品带来业绩超预期，支撑公司未来成长性,东北证券研究所
808,2020-07-13,金发科技(600143)：业绩爆发式增长 防疫材料贡献主要业绩增量,新浪
809,2020-07-13,82股今日获机构买入评级14股上涨空间超20%,证券时报网
810,2020-07-13,这家粤企加码口罩和熔喷布生产线，上半年净利润超23个亿！,第一纺织网
811,2020-07-13,晨会聚焦200713重点关注半导体专题、立思辰、轻工行业、医药行业、香港交易所、芒果超媒、金发科技、视觉中国,国信研究
812,2020-07-13,金发科技（600143）2020半年度业绩预告点评：上半年业绩爆发式增长，公司发展进入快车道,国信研究
813,2020-07-13,增加了口罩和熔喷布生产线的金发科技，上半年最少赚到23亿人民币,第一纺织网
814,2020-07-13,上市公司正负面新闻2020年7月13日星期一,Wind
815,2020-07-12,金发科技：预计上半年实现净利23.45亿元到24.46亿元,中证网
816,2020-07-12,晚间重要公告2020年7月12日星期日,Wind
817,2020-07-12,疫情防控相关股票中报业绩“炸裂” 私募懊悔“下车太早”市场分歧犹存,21世纪经济报道
818,2020-07-12,金发科技上半年净利润预计大增,中国证券网
819,2020-07-12,金发科技：预计上半年净利23.45亿元到24.46亿元 同比增长超三倍,第一财经
820,2020-07-12,金发科技业绩预告：上半年净利润增加18.35亿元到19.36亿元,格隆汇
821,2020-07-10,【东北基础化工】日报/龙蟒佰利：各硫酸法型号钛白粉销售价上调500元/吨20200711,东北基础化工
822,2020-07-10,【东北基础化工】日报/国光股份拟设立海南依尔热带作物科技有限公司 20200710,东北基础化工
823,2020-07-05,【东北基础化工】日报/上海高等研究院在低碳烷烃活化研究方面取得重大进展 20200705,东北基础化工
824,2020-07-02,【东北基础化工】日报/ 大橡塑国产高端熔喷非织造布挺进国际一流行列20200703,东北基础化工
825,2020-07-01,道恩转债投资简析：口罩熔喷料亮眼的改性塑料生产企业 建议申购,新浪
826,2020-06-30,金发科技(600143.SH)控股股东解押1.28亿股,格隆汇
827,2020-06-29,LCP 行业投资策略报告：5G发展的关键材料 LCP应用市场巨大,新浪
828,2020-06-29,石油化工行业北上资金周报,新浪
829,2020-06-29,【东北基础化工】日报/先正达集团中国正式成立 20200620,东北基础化工
830,2020-06-29,【东北基础化工】日报/恒力石化250万吨级PTA-5装置开车成功20200704,东北基础化工
831,2020-06-29,【东北基础化工】日报/德国拜耳就孟山都除草剂致癌多数指控达成和解 20200629,东北基础化工
832,2020-06-24,【东北基础化工】日报/化工新材料国家技术标准创新基地启动 20200625,东北基础化工
833,2020-06-23,上证报联手金发科技 捐赠10万只医用口罩助力贵州石阡抗疫,上证报
834,2020-06-22,化工行业2020年中期策略报告：静待需求起、拥抱“阿尔法”,新浪
835,2020-06-19,万华化学(600309)：系列报告之改性塑料：以塑代钢天地广 纵向一体放光芒,新浪
836,2020-06-18,【东北基础化工】日报/国内聚酰胺新材料领先企业聚合顺上市 20200619,东北基础化工
837,2020-06-18,【行业快评|国信化工】金融系统让利1.5万亿，对化工行业影响有多大？,化工之诚
838,2020-06-18,基础化工行业快评：金融系统让利1.5万亿 对化工行业影响有多大,新浪
839,2020-06-18,金发科技：2016年度员工持股计划还持有7077万股,每日经济新闻
840,2020-06-18,金发科技(600143.SH)：2016年度员工持股计划存续期即将届满,格隆汇
841,2020-06-17,基础化工行业投资周报：国六标准实施在即 关注尾气催化材料板块投资机会,新浪
842,2020-06-16,金发科技(600143.SH)年报推10派1元 股权登记日6月23日,格隆汇
843,2020-06-15,【太平洋化工】可降解塑料大有可为，重点关注明日之星,微信
844,2020-06-15,【东北基础化工】日报/恒力（榆林）煤化一体化产业基地正式落地 20200615,东北基础化工
845,2020-06-12,近10亿美元口罩订单没收到钱？金发科技发公告了,金融界
846,2020-06-12,金发科技称尚未收到美企付款 10亿美元口罩订单要黄？,财富动力网
847,2020-06-11,10亿美元口罩订单要黄？金发科技股价一度跌近4%,格隆汇
848,2020-06-11,说好的3天付款呢？9.75亿美元大单进度如何？“口罩王”回应来了,中证报
849,2020-06-11,【东北基础化工】日报/世界首创化学炼胶30万吨项目建设正式启动 20200611,东北基础化工
850,2020-06-11,太难了！美国公司订了10亿美元口罩，说好3天打钱，快一个月了还没动静,每日经济新闻
851,2020-06-11,悬了！下单半月后还未支付定金 金发科技9.75亿美元口罩订单岌岌可危,21世纪经济报道
852,2020-06-10,晚间公告热点追踪：金发科技仍未收到口罩订单前期款项,新浪
853,2020-06-10,每经19点丨深圳：允许持有居住证申请新能源指标,每日经济新闻
854,2020-06-10,金发科技：向美国某公司出售KN95口罩，延期后仍未收到买家前期款项,Wind
855,2020-06-10,金发科技：向美国某公司出售KN95口罩延期后仍未收到买家前期款项,格隆汇
856,2020-06-10,接单了！金发科技：子公司9.75亿美元口罩订单目前未收到买家支付的款项,每日经济新闻
857,2020-06-10,金发科技(600143.SH)：向美国某公司出售KN95口罩 截至目前尚未收到买家前期款项,格隆汇
858,2020-06-08,【东北基础化工】日报/裕龙岛炼化一体化项目（一期）环评受理20200721,东北基础化工
859,2020-06-08,【东北基础化工】日报/云天化合成氨装置连续运行达500天 20200608,东北基础化工
860,2020-06-08,【东北基础化工】日报/商务部继续对进口丙酮征收反倾销税 20200606,东北基础化工
861,2020-06-05,改性塑料行业2019年&2020Q1财报总结 ：改性塑料行业景气明显复苏，趋势仍在延续,国信研究
862,2020-06-05,【行业跟踪|国信化工】改性塑料行业景气明显复苏，趋势仍在延续（改性塑料行业2019年&2020Q1季报点评）,化工之诚
863,2020-06-03,化工行业周报-生物降解塑料：乘政策之风 静待需求变革,新浪
864,2020-06-03,【东北基础化工】日报/山东地炼企业产能整合转移工作拉开序幕 20200603,东北基础化工
865,2020-06-02,基础化工行业投资周报：“一盔一带”政策落地 利好ABS、EPS塑料需求,新浪
866,2020-06-02,化工周报：万华上调6月聚合MDI挂牌价 周期品淡季不淡 静待Q3需求恢复 积极布局行业白马及龙头,新浪
867,2020-05-31,2020年5月与再生塑料行业相关的政策或事件解读,新浪
868,2020-05-31,【东北基础化工】日报/我国首套自主开发“铁钌接力催化”氨合成技术通过科技成果鉴定 20200602,东北基础化工
869,2020-05-29,【东北基础化工】日报/山东出台方案分期禁用一次性塑料餐具 20200530,东北基础化工
870,2020-05-29,化工行业周观点：丙酮价格强势上涨 看好农化推荐扬农化工,西南证券
871,2020-05-28,【东北基础化工】日报/巴斯夫携手彤程新材合作生产可堆肥共聚酯 20200529,东北基础化工
872,2020-05-28,【天风新材料】可降解塑料：政策风将起，未来大可期,煤炭鑫观点
873,2020-05-28,一文带你了解中国改性塑料供需市场规模及发展趋势分析 供需持续增长【组图】,前瞻研究院
874,2020-05-28,融资客青睐9股，珠江实业买入占比高达45.45%,Wind
875,2020-05-28,A股融资融券日报：两融余额减少1.54亿元（5月27日）,Wind
