,2021-12-31,2021年的啤酒板块∶行情欠佳但酒香四溢,智通财经
963,2020-10-31,高端啤酒龙头百威亚太（01876）业绩之殇：前三季度收入、净利润再现双降 盈利能力下降,智通财经
964,2020-10-30,深圳将对未成年人全面禁酒 2020啤酒行业发展现状格局及前景预测,中研网
965,2020-10-30,全球啤酒之王：在中国掉队,斑马消费
966,2020-10-30,【安信食品】周专题—啤酒高端化新阶段，利润释放进入新周期,安信食饮
967,2020-10-30,百威啤酒夜场失意,斑马消费
968,2020-10-28,酒类股拉升，老白干酒、青岛啤酒、重庆啤酒领涨,Wind
969,2020-10-27,消费行业周报：三季报陆续发布 啤酒行业经营持续向好,新浪
970,2020-10-26,食品饮料行业：三季报披露进行时 关注优质标的投资机会,新浪
971,2020-10-26,第三季度增长放缓，重庆啤酒增收不增净利，重组后如何破圈？,奥一网
972,2020-10-26,【财报智读】重庆啤酒：2020年前三季度营业总收入31.08亿元，归母净利润4.61亿元,面包财经
973,2020-10-26,【面包财报】重庆啤酒：2020年前三季度营业总收入31.08亿元，归母净利润4.61亿元,面包财经
974,2020-10-26,社保最新持仓曝光！新进32股，同时被私募巨头盯上的是它,证券时报网
975,2020-10-26,社保基金三季度重仓股揭秘：8股社保基金持股比例超5%,证券时报网
976,2020-10-25,【民生食饮】重庆啤酒（600132）2020年三季报点评：旺季动销顺畅，20Q3主业延续高增长,MS食品饮料
977,2020-10-25,重庆啤酒：销量保持强劲增长，结构升级持续推进【中泰食品饮料】,食品饮料俱乐部
978,2020-10-25,重庆啤酒2020前三季营收破31亿元 扣非净利同比增长逾7%,证券时报
979,2020-10-25,【华西食饮】重庆啤酒点评报告：结构升级持续推进，主业盈利水平稳健增长,--
980,2020-10-25,【安信食品】重庆啤酒Q3销量增长提速，资产整合效益可期,北外滩食饮俱乐部
981,2020-10-25,重庆啤酒(600132)：收入增长超预期 看好中期成长及利润弹性,新浪
982,2020-10-23,重庆啤酒前三季扣非净利增7%，股价累计上涨98.6%,重庆商报
983,2020-10-23,前三季度卖出啤酒超82万千升 重庆啤酒紧抓消费反弹契机保持增长,证券日报网
984,2020-10-23,重庆啤酒公布三季报 前三季净利减少22.39% 盈利能力下降,新浪
985,2020-10-23,重庆啤酒前9月销量实现正增长,上证报
986,2020-10-23,重庆啤酒：前三季度实现扣非净利润4.32亿元 同比增长7.24%,中证网
987,2020-10-23,重庆啤酒前三季度净利润4.6亿元，同比减少22.39% 盈利能力下降,证券时报网
988,2020-10-23,重庆啤酒(600132.SH)：前三季净利降22.39%至4.61亿元 盈利能力下降,格隆汇
989,2020-10-23,重庆啤酒：前三季度净利润4.61亿元同比减少22.39% 盈利能力下降,格隆汇
990,2020-10-23,渝股点金 | 华龙证券王冬炎：涪陵榨菜瞬间跌停！直接诱因是,上游新闻
991,2020-10-22,掉队五强？ 燕京啤酒对四季度回暖“没底”,证券之星
992,2020-10-22,燕京啤酒，昔日啤酒霸主何时归来？,格隆汇
993,2020-10-22,啤酒板块：龙头业绩同比大增近70%,财联社
994,2020-10-21,重大资产购买遭遇联营公司诉讼，重庆啤酒“走向全国”之路显艰难 诉讼纠纷,投资时报
995,2020-10-20,燕京啤酒近期有点烦！高管被调查，股价持续多日下跌 其他违规处罚,红周刊
996,2020-10-20,120亿大动作！这一次，西南王重庆啤酒，能走向全国吗,36氪
997,2020-10-20,解盘：资金小额流入，白酒、品牌龙头、创业板低价股领涨,Wind
998,2020-10-20,惠泉啤酒封住涨停，重庆啤酒、燕京啤酒、青岛啤酒跟涨,Wind
999,2020-10-18,搜狐快消周报丨瑞幸咖啡被市场监管总局罚200万元；生鲜电商易果生鲜被曝破产 其他违规处罚,搜狐
1000,2020-10-15,嘉士伯在华资产拟整体上市 多品牌整合遗留问题待考,21世纪经济报道
1001,2020-10-13,嘉士伯在华资产整体上市 多品牌整合遗留问题待考,21世纪经济报道
1002,2020-10-13,重庆啤酒存在诸多违法行为？被参股子公司告上法庭，下半年利润率或下降！ 诉讼纠纷,云掌财经
1003,2020-10-13,食品饮料行业9月线上数据分析专题：中秋、国庆双节助力 白酒头部企业维持高增长,新浪
1004,2020-10-13,燕京啤酒董事长赵晓东被抓背后：公司营业总收入6年减少近20亿元 董监高成员异常事件,云掌财经
1005,2020-10-12,重庆啤酒重组案获通过，股价创新高，但同期遇“自家人”状告 诉讼纠纷,奥一网
1006,2020-10-12,缘何上演“子告父”？重庆嘉威状告重庆啤酒、嘉士伯，资产重组或受制？ 诉讼纠纷,搜狐
1007,2020-10-12,民生食品饮料行业周报：短期人事调整无碍燕京延续确定性改善趋势,新浪
1008,2020-10-11,燕京啤酒董事长突遭调查：“五年增长计划”前路未卜，销售净利率5%行业垫底 其他违规处罚,搜狐
1009,2020-10-11,燕京啤酒董事长被查：公司最新市值230亿，不及青岛啤酒四分之一,金融界
1010,2020-10-10,牵手嘉士伯 喝下大乌苏后 重庆啤酒却被自己人索赔6.39亿 诉讼纠纷,时代财经
1011,2020-10-10,犀牛财经早报：国务院发布提高上市公司质量意见广州浪奇财产被冻结,GPLP犀牛财经
1012,2020-10-09,重庆啤酒通过嘉士伯128亿元资产注入案，称6.4亿元诉讼不影响重组 诉讼纠纷,重庆商报
1013,2020-10-09,重庆啤酒与嘉士伯资产重组方案获股东会通过,e公司
1014,2020-10-09,重庆啤酒：临时股东大会审议通过与嘉士伯重大资产重组方案,中证网
1015,2020-10-09,燕京啤酒的中年危机：董事长被查 业绩多年陷泥沼 经营问题,腾讯网
1016,2020-10-09,重庆啤酒“后院起火”：参股子公司要求赔偿6.39亿 安全事故,中华网
1017,2020-10-08,食品饮料行业点评-中秋旺季白酒动销专题一：上海地区草根调研与经销商反馈,新浪
1018,2020-10-05,重庆啤酒和嘉士伯被29年前一纸契约卷入诉讼旋涡 重大重组或将暂停 诉讼纠纷,电鳗快报
1019,2020-10-01,上市公司正负面新闻2020年10月1日星期四,Wind
1020,2020-09-30,重庆嘉威啤酒状告重庆啤酒 索赔6.4亿元 诉讼纠纷,重庆商报
1021,2020-09-30,重庆啤酒被重庆嘉威告了：被控挤占“山城”啤酒市场份额,澎湃新闻
1022,2020-09-30,晚间重要公告2020年9月30日星期三,Wind
1023,2020-09-30,重庆啤酒：因涉及挤占“山城”啤酒的市场份额等问题遭到起诉 诉讼纠纷,Wind
1024,2020-09-30,重庆啤酒：遭控挤占山城啤酒市场份额 涉与山城啤酒生产商诉讼 诉讼纠纷,新浪
1025,2020-09-30,重庆啤酒(600132.SH)：重庆嘉威诉被告合同纠纷诉讼请求金额暂计6.39亿元及诉讼费用 诉讼纠纷,格隆汇
1026,2020-09-30,消费行业日报：4酒企入选2020中国企业500强榜单,新浪
1027,2020-09-28,6股股价逆市创历史新高（附股）,证券时报网
1028,2020-09-27,周思考39：高端酒旺季价格坚挺，徽酒渠道良性恢复【中泰食品饮料】,食品饮料俱乐部
1029,2020-09-27,食品饮料周报(第39周)：高端酒旺季价格坚挺 徽酒渠道良性恢复,新浪
1030,2020-09-27,会玩！50位市民刷屏“西部之巅”,重庆商报
1031,2020-09-27,食品饮料行业周报：五粮液发布高端新品 高端酒旺季趋势向好,新浪
1032,2020-09-27,消费行业日报：青岛啤酒获2020亚洲品牌排行榜啤酒类榜首,新浪
1033,2020-09-25,重庆啤酒等6股股价创历史新高,证券时报网
1034,2020-09-23,聚焦市长顾问团年会｜长期看好重庆 这些企业纷纷加大在渝投资,重庆商报
1035,2020-09-23,12只股股价创历史新高,证券时报网
1036,2020-09-22,食品饮料行业研究周报：酒企双节价格仍坚挺 持续坚定推荐白酒板块,新浪
1037,2020-09-21,深度｜股价破百，半年暴涨150%，重庆啤酒值480亿吗？,国际金融报
1038,2020-09-21,周思考38：杠铃式策略5：紧握龙头，寻找改善的机会【中泰食品饮料】,食品饮料俱乐部
1039,2020-09-21,【开源食饮周报0920】茅台龙头地位稳固，重庆啤酒开启新征程,宇光看食饮
1040,2020-09-21,酒水行业周报：短期情绪波动不改长期趋势 下周将迎高端酒旺季表现观测窗口,新浪
1041,2020-09-21,【方正食饮】行业周报200920：中秋终端动销启动，保持乐观预期,虎哥的研究
1042,2020-09-21,食品饮料行业20年二季度资金仓位变动研究：行业基金持仓比例环比提升 白酒更受资金青睐,新浪
1043,2020-09-18,11股获券商买入评级，西菱动力目标涨幅达63.50%,Wind
1044,2020-09-17,消费行业日报：8月全国规模以上酒企酿酒产量同比-1.44%,新浪
1045,2020-09-17,重庆啤酒(600132)：实现高质量注入 扬帆新征程,新浪
1046,2020-09-16,食品饮料行业研究周报：市场回调带动板块震荡 重申H2坚定推荐白酒板块,新浪
1047,2020-09-16,31股获券商买入评级，华菱钢铁目标涨幅达56.86%,Wind
1048,2020-09-15,消费行业日报：水井坊为提升全年业绩积极营销,新浪
1049,2020-09-15,重庆啤酒涨到101元 成史上第五只百元渝股,重庆商报
1050,2020-09-15,股价创新高逼近百元 重庆啤酒重组方案披露，嘉士伯注入资产总计71.7亿元,经济观察网
1051,2020-09-15,人气回升，并购案例突增，概念股持续走牛,Wind
1052,2020-09-15,24股获机构买入型评级 重庆啤酒关注度最高,证券时报网
1053,2020-09-15,券商首次关注3股并给予买入评级（9月15日）,Wind
1054,2020-09-15,北向资金动向盘点：长春高新跌停板是怎么回事,Wind
1055,2020-09-14,【开源食饮每日资讯0914】重庆啤酒拟收购新疆乌苏啤酒100%股权及宁夏西夏嘉酿啤酒70%股权,宇光食饮日讯
1056,2020-09-14,重庆啤酒(600132)：发布重组草案 步入新阶段,新浪
1057,2020-09-14,重庆啤酒(600132)：交易对价合理 重组后扬帆新征程,新浪
1058,2020-09-14,重庆啤酒并购嘉士伯中国啤酒资产，“交杯酒”带飞啤酒板块！,格隆汇
1059,2020-09-14,啤酒股集体走高，重庆啤酒涨停再创新高，股价逼近百元大关,证券时报网
1060,2020-09-14,食品饮料行业周报：关注回调后布局机会,新浪
1061,2020-09-14,狂涨8倍！刚刚，这只啤酒股创新高……大动作又来了,中国基金报
1062,2020-09-14,解盘：百亿资金流入，大消费、低价股、第三代半导体领涨,Wind
1063,2020-09-14,食品饮料行业动态报告：市场分化 Q3关注餐饮宴席市场恢复受益标的,新浪
1064,2020-09-14,啤酒概念早盘走强 重庆啤酒、兰州黄河涨停,金融界
1065,2020-09-14,重庆啤酒涨停！公司6.43亿元拿下重庆嘉酿股权 券商看好销售渠道补强,金融界
1066,2020-09-14,啤酒板块大幅拉升 兰州黄河、重庆啤酒涨停,e公司
1067,2020-09-14,【行情】啤酒概念活跃，兰州黄河、重庆啤酒双双涨停，乐惠国际、青岛啤酒等跟涨,金十数据
1068,2020-09-14,重庆啤酒封住涨停再创新高，青岛啤酒、珠江啤酒等普涨,Wind
1069,2020-09-14,[公司]重庆啤酒：嘉士伯资产拟通过重庆嘉酿注入,全景网
1070,2020-09-13,【民生食饮】周观点0914:Q3乳企抢奶超预期，行业竞争趋缓确定性持续走高,MS食品饮料
1071,2020-09-13,【民生食饮】重庆啤酒（600132）重大资产交易草案公告点评：交易方案确定，长期成长性得到强化,MS食品饮料
1072,2020-09-13,重庆啤酒(600132)公司研究：最终交易方案超预期 业绩弹性增强,新浪
1073,2020-09-13,食品饮料行业周报：茅台批价继续上行 中秋旺季行情开启,新浪
1074,2020-09-13,重庆啤酒获嘉士伯优质资产注入 交易方案对价公布,证券时报
1075,2020-09-13,食品饮料行业2020年半年报总结：行业景气度上行 龙头企业强者恒强,新浪
1076,2020-09-12,嘉士伯履行解决同业竞争承诺 重庆啤酒获嘉士伯资产注入,中证网
1077,2020-09-12,渝股看台｜嘉士伯资产注入草案出炉 重庆啤酒年营收将上百亿元,重庆商报
1078,2020-09-12,重庆啤酒“联手”嘉士伯注资重庆嘉酿 整体作价高达128.6亿元,证券日报
1079,2020-09-12,重庆啤酒获嘉士伯资产注入 合并后总资产过百亿,中华网
1080,2020-09-11,重庆啤酒获嘉士伯优质资产注入 交易方案对价公布,e公司
1081,2020-09-11,嘉士伯128亿资产待注 重庆啤酒望跃升为百亿级啤酒集团,上证报
1082,2020-09-11,重庆啤酒：与嘉士伯合资设立重庆嘉酿,Wind
1083,2020-09-11,青岛啤酒(600600)2020年中报点评：二季度销售同比增长 费降增厚利润,新浪
1084,2020-09-07,食品饮料行业研究周报：回调不改食品饮料行业长期趋势 坚守价值推荐,新浪
1085,2020-09-06,啤酒中报总结：Q2动销回暖 业绩弹性增强,新浪
1086,2020-09-05,深度｜啤酒观察之一 ：一季超过半年 国产老大华润啤酒盈利首超百威亚太,21世纪经济报道
1087,2020-09-04,A股中报季900只超预期个股名单,锦缎
1088,2020-09-02,食品饮料行业报告：半年报集中释放风险 白酒关注预期差标的,新浪
1089,2020-09-01,绩优基金何以表现亮眼，聪明钱与好公司互相成就,Wind
1090,2020-08-31,食品饮料行业动态报告：中报落地 关注业绩超预期且景气度可延续的行业标的,新浪
1091,2020-08-29,食品饮料行业周报(第三十三周),新浪
1092,2020-08-29,10位明星基金经理“心水股”首次披露,中国基金报
1093,2020-08-26,【A股收盘综述】创业板综指低收2.18%，沪指跌超1%受累半导体等回调,Wind
1094,2020-08-25,天风证券：白酒中报影响充分释放 旺季临近望量价齐升,新浪
1095,2020-08-25,食品饮料行业周报：中报业绩催化 食饮涨幅领先,新浪
1096,2020-08-24,【民生食饮】周观点0824：茅台批价持续创新高，啤酒板块有望整体超预期,MS食品饮料
1097,2020-08-22,10倍大牛股呼啸而来 重庆啤酒长期走牛有何秘籍？,重庆商报
1098,2020-08-21,四川那些消失的啤酒品牌，你喝过几种？,糖酒快讯
1099,2020-08-21,QFII持股曝光：举牌透景生命，青睐小盘绩优,Wind
1100,2020-08-21,重庆啤酒主流啤酒营收减少 拖累上半年总营收下降4.45% 盈利能力下降,GPLP犀牛财经
1101,2020-08-21,酒类股集体走强 张裕A涨停 重庆啤酒再创历史新高,格隆汇
1102,2020-08-21,疫情下的上半年，这些吃喝企业不愁“吃喝”,36氪
1103,2020-08-21,疫情下食品饮料企业半年报：养猪、速冻食品赚翻时谁心伤？,中新经纬
1104,2020-08-21,【行业一线】高端啤酒受青睐，国产品牌吹响反攻号角,财华社
1105,2020-08-20,2020年中国啤酒行业企业竞争格局及发展趋势分析 大力发展高端产品是大势所趋,前瞻研究院
1106,2020-08-20,时下正值上市公司半年报发布期，大快消品行业中的啤酒企业上半年表现如何？,证券日报
1107,2020-08-20,国内啤酒行业进入“战国时代”，高端产品市场成争夺点,Wind
1108,2020-08-19,【重庆啤酒中报点评：积极发力非现饮渠道，Q2销量超预期—方正食品饮料200819】,虎哥的研究
1109,2020-08-19,深度丨疫情叠加洪灾 华润啤酒“勇闯天涯”的底气在哪？,21世纪经济报道
1110,2020-08-19,重庆啤酒(600132)2020年中报点评：业绩改善明显 盈利能力提升,新浪
1111,2020-08-19,重庆啤酒股价创历史新高！超越9年前的“疫苗顶”，今年累计涨65%,重庆商报
1112,2020-08-19,比尔盖茨基金、澳门金管局等QFII“扫货”的这些股 三季度以来持续“领跑”大市,红周刊
1113,2020-08-19,重啤股价创新高今年累计涨65%,重庆商报
1114,2020-08-18,消费行业日报：青啤推出超高端“百年之旅” 品牌高端化稳步推进,新浪
1115,2020-08-18,盖茨基金、澳门金管局等QFII扫货这些股 三季度以来“领跑”大市,红周刊
1116,2020-08-18,继昨日涨停后重庆啤酒再度暴涨9%！资产重组叠加业绩好转成“做多”诱因,金融界
1117,2020-08-18,啤酒板块头部带头飙升？安信证券点评重庆啤酒半年报超预期,中华网
1118,2020-08-18,A股收盘综述：上证指数小涨0.36%收于两年半高点，中国人寿再涨5%,Wind
1119,2020-08-18,业绩亮眼重庆啤酒(600132.SH)连续第二日涨停创历史新高市值突破400亿,格隆汇
1120,2020-08-18,重庆啤酒连续两日涨停，再创新高,Wind
1121,2020-08-18,快讯：啤酒板块表现活跃涨3.62% 重庆啤酒涨幅9.23%居首,证券日报
1122,2020-08-18,92股获券商买入评级，富满电子目标涨幅达80.52%,Wind
1123,2020-08-18,【新时代食品饮料团队】重庆啤酒：业绩超预期，非即饮高增,新时代证券研究
1124,2020-08-18,【早安新时代】晨会早读2020/08/18：今日关注重庆啤酒,新时代证券研究
1125,2020-08-18,上半年净利微增 重庆啤酒资产重组进行时,时代在线
1126,2020-08-17,9年轮回！“关灯吃面”典故翻篇，徐翔封神之战卖在山脚！重庆啤酒4年翻10倍，A股最大的确定就是不确定,金融界
1127,2020-08-17,重庆啤酒(600132)：从小而美到全国化 协同效应可期,新浪
1128,2020-08-17,渝股点金｜重庆啤酒强势涨停！投顾建议这样操作！,上游新闻
1129,2020-08-17,【面包财报】重庆啤酒：2020年上半年归母净利润2.46亿元，同比增长3.06%,面包财经
1130,2020-08-17,【财报智读】重庆啤酒：2020年上半年归母净利润2.46亿元，同比增长3.06%,面包财经
1131,2020-08-17,解盘：资金流入400亿，炒股软件、次新、数字货币领涨,Wind
1132,2020-08-17,快讯：啤酒板块跃升涨幅榜首位 重庆啤酒与乐惠国际联袂涨停,证券日报
1133,2020-08-17,二季度业绩强势反弹！重庆啤酒涨停 券商：重庆啤酒为业内最优,金融界
1134,2020-08-17,啤酒板块表现抢眼 乐惠国际、重庆啤酒涨停,上证报
1135,2020-08-17,重庆啤酒快速涨停，带动青岛啤酒等走升,Wind
1136,2020-08-17,重庆啤酒(600132)半年报点评：积极发力非现饮 Q2业绩超预期,新浪
1137,2020-08-17,消费行业日报：良品铺子布局健康代餐零食,新浪
1138,2020-08-17,三峰环境上半年营收23.77亿净利增27%,重庆商报
1139,2020-08-16,【安信食品】重庆啤酒：销量追赶超预期，盈利能力继续提升,北外滩食饮俱乐部
1140,2020-08-16,净利润增3%经销商却少了125家 重庆啤酒：6月末累计一并处理所致,每日经济新闻
1141,2020-08-16,重庆啤酒：Q2销量增长强劲，结构升级推动毛利率提升【中泰食品饮料】,食品饮料俱乐部
1142,2020-08-16,重庆啤酒(600132)2020半年报点评：Q2业绩超出市场预期 高端化战略推进顺利,光大证券
1143,2020-08-16,重庆啤酒(600132)中报点评：超预期本质在强经营能力 仍是业内最优,新浪
1144,2020-08-15,【民生食饮】重庆啤酒(600132)2020年半年报点评：20Q2经营显著回暖，关注未来长期成长性,MS食品饮料
1145,2020-08-15,重庆啤酒中报：净利2.46亿，高档酒增长22%,中华网
1146,2020-08-14,重庆啤酒上半年营收同比下降4.45% 盈利能力下降,北京商报
1147,2020-08-14,渝股看台|重庆啤酒上半年营收17.51亿 二季度沪股通增持1327万股,重庆商报
1148,2020-08-14,重庆啤酒2020年二季度业绩反弹 中报净利润约2.5亿元,证券时报
1149,2020-08-14,二季度强势反弹 重啤上半年实现利润增长,证券日报
1150,2020-08-14,疫情后啤酒公司首份半年报：二季度强势反弹 重啤上半年利润略增,重庆商报
1151,2020-08-14,晚间重要公告2020年8月14日星期五,Wind
1152,2020-08-14,二季度销量环比大增 重庆啤酒上半年盈利保持正增长,中国证券网
1153,2020-08-14,重庆啤酒(600132.SH)：上半年净利升3.06%至2.46亿元,格隆汇
1154,2020-08-14,重庆啤酒：上半年净利润同比增长3.06%,Wind
1155,2020-08-13,国货崛起系列之二：站在高端化的十字路口 国产啤酒再举复兴大旗,新浪
1156,2020-08-09,【民生食饮】周观点0810：茅台批价重回历史高点，燕京啤酒正迎来基本面拐点,MS食品饮料
1157,2020-08-07,食品饮料行业月报：7月整体表现强势中期或将面临分化,渤海证券
1158,2020-08-03,食品饮料行业动态报告：中报逐渐披露 高端白酒稳健性优势凸显,新浪
1159,2020-08-03,【民生食饮】周观点0803：茅台批价逼近新高，乳业两强持续加强上游奶源布局,MS食品饮料
1160,2020-07-29,消费行业日报：泸州市酒协：上半年酒业预计完成产值508亿元,新浪
1161,2020-07-29,资源整合注入 重庆啤酒再次冲击全国化,北京商报
1162,2020-07-26,【安信食品】重庆啤酒-资产注入多方面协同，强化高端优势--20H1业绩前瞻,安信食饮
1163,2020-07-26,国内啤酒行业的高端化之路 该如何走？,36氪
1164,2020-07-26,搜狐快消周报丨全聚德自救：菜价下调15%、取消服务费；呷哺呷哺半年预亏超2亿,搜狐
1165,2020-07-26,食品加工：二季度基金持仓出炉 食品饮料仍是基本面优选,新浪
1166,2020-07-24,重庆啤酒欲举债收购嘉士伯资产 高杠杆之下负重前行,新浪
1167,2020-07-24,七年前的承诺要履行了？嘉士伯优质资产或将注入重庆啤酒,证券日报
1168,2020-07-24,夏季来临多支股票表现出色 经济复苏啤酒看涨？,中华网
1169,2020-07-23,澳洋顺昌控制权、实控人变更，红相股份子公司签订2.9亿元生产合同,红周刊
1170,2020-07-23,重庆啤酒(600132)：资产注入多方面协同 强化高端优势,新浪
1171,2020-07-23,食品饮料行业周报：短期扰动不改长期趋势,渤海证券
1172,2020-07-23,食品饮料行业研究：白酒仓位环比提升 啤酒获显着加配,新浪
1173,2020-07-23,啤酒业“关厂潮”仍在持续 高端之争愈演愈烈：未来谁执牛耳？,36氪
1174,2020-07-22,【开源食饮每日资讯0722】绝味食品子公司拟出资4亿元参与设立投资基金,宇光食饮日讯
1175,2020-07-22,重庆啤酒：受水灾影响的分公司产能较小 经济损失尚待核实 |公司问答,第一财经
1176,2020-07-22,重庆啤酒：关于上交所的问询函今天会发布公告 |公司问答 问询,第一财经
1177,2020-07-20,重庆啤酒：受到水灾影响 目前万州分公司处于停产状态 自然灾害,新浪
1178,2020-07-20,那些个吃牛肉面的股民,秦朔朋友圈
1179,2020-07-20,产品“泡汤”了，重庆啤酒分公司停产 经营问题,中新经纬
1180,2020-07-20,重庆啤酒：受强降雨影响部分房屋受损产品被泡，万州公司停产 经营问题,澎湃新闻
1181,2020-07-20,重庆啤酒：分公司受到水灾影响 自然灾害,Wind
1182,2020-07-20,重庆啤酒延期回复上交所对“资产重组”问询 问询,北京商报
1183,2020-07-18,食品饮料2020 年中报业绩前瞻：板块环比改善 白酒更重质量 食品更重速度,新浪
1184,2020-07-17,嘉士伯入主重啤七年：关联交易不断 借重组巨额变现,新浪
1185,2020-07-15,七年之痒！重组纠葛待落地，重庆啤酒嘉士伯交易资产蹊跷波澜再起,投资时报
1186,2020-07-15,青岛啤酒大涨超4%再创新高，重庆啤酒、珠江啤酒等跟涨,Wind
1187,2020-07-15,食品饮料行业2020年下半年投资策略报告：持续紧抓确定性增长及趋势性改善两条核心主线,新浪
1188,2020-07-13,周谈|Weekly Talk：白酒环比持续改善，食品中报逐步确认预期,食品饮料光头阳线
1189,2020-07-12,收购资金及商业合理性被证监会问询 重庆啤酒称：五日内回复,北京商报
1190,2020-07-12,搜狐快消周报丨飞鹤再遭做空；腾讯向老干妈道歉：已撤回财产保全申请,搜狐
1191,2020-07-11,重庆啤酒&嘉士伯重组，注入资产范围不明、负债率高、业绩蹊跷引问询 偿债能力下降,中金在线
1192,2020-07-11,食品饮料行业本周专题：食品饮料重点公司中报前瞻,新浪
1193,2020-07-09,获嘉士伯专宠 重庆啤酒能否东山再起,北京商报
1194,2020-07-09,重庆啤酒资产重组遭问询：上交所提17项披露要求，标的负债率70%高于同行 问询,搜狐
1195,2020-07-08,重庆啤酒资产重组或存同业竞争风险遭上交所问询 问询,中新经纬
1196,2020-07-08,重庆啤酒收问询函 问询,Wind
1197,2020-07-07,食品饮料行业周报：泸州老窖股东大会及渠道调研反馈,新浪
1198,2020-07-06,周谈|Weekly Talk：食品饮料构建新景气思维，不畏浮云还是高处不胜寒,食品饮料光头阳线
1199,2020-07-06,食品饮料行业中报前瞻：环比改善 强者恒强,新浪
1200,2020-07-04,巨头齐聚资本市场，在高端市场玩什么花样？,酒业新闻网
1201,2020-07-03,食品饮料行业月报：疫情影响逐渐弱化投资逻辑有所转变,渤海证券
1202,2020-07-01,1644、乌苏啤酒等酒厂加持 迟到七年的嘉士伯能否让重庆啤酒东山再起,北京商报
1203,2020-06-29,食品饮料行业周观点报告：茅五创新高 全年近半关注中报业绩高确定性板块,新浪
1204,2020-06-29,40股获券商买入评级 中金黄金目标涨幅达48.33%,Wind
1205,2020-06-28,【民生食饮】周观点0629：啤酒行业需求持续向好，伊利迎来中长期战略买点,MS食品饮料
1206,2020-06-28,嘉士伯兑现承诺 重庆啤酒资产注入方案敲定 股价逼近历史高位,经济观察网
1207,2020-06-28,娟食品饮料行业周报：把握复苏趋势 寻找确定性标的及边际改善机会-行业周报,新浪
1208,2020-06-23,食品饮料行业研究周报：“赛道思维”驱动估值体系显着变化 半场验证持续升级,新浪
1209,2020-06-23,消费行业日报：茅台战略签约浪潮 共同推进“智慧茅台”建设,新浪
1210,2020-06-23,绝境逢生！夺命9跌停 他靠幕后推手直冲云霄 股价创10年新高！,搜狐
1211,2020-06-23,晨会聚焦200623重点关注重庆啤酒、日月股份、房地产、医药行业、中新赛克、万华化学,国信研究
1212,2020-06-23,重庆啤酒（600132）快评：优质资源整合注入，竞争优势整体提升,国信研究
1213,2020-06-23,股价创近十年新高！大股东嘉士伯兑现承诺，重庆啤酒收获11家啤酒厂,环球老虎财经
1214,2020-06-23,重庆啤酒获注入嘉士伯优质资产 标的去年净利7.6亿增幅超六成,长江商报
1215,2020-06-22,消费行业日报：啤酒行业供需同步抬升 建议把握确定性机遇,新浪
1216,2020-06-22,食品饮料行业周报：北京疫情基本得控利于板块情绪 榨菜完成流通产品换装,新浪
1217,2020-06-22,重庆啤酒(600132)：嘉士伯资产注入在望 资源整合有望加速,新浪
1218,2020-06-22,47股今日获机构买入评级 13股上涨空间超20%,证券时报网
1219,2020-06-22,重庆啤酒(600132)：发布重组预案 重啤将享嘉士伯高盈利、高成长,新浪
1220,2020-06-22,嘉士伯中国资产拟注入上市公司，重庆啤酒股价创历史新高,南都报
1221,2020-06-22,6月22日异动股点评：重庆啤酒续创新高！盘点四牛与四熊,山东神光
1222,2020-06-22,重庆啤酒(600132)：协同效应值得期待 公司有望开启全国化进程,新浪
1223,2020-06-22,重庆啤酒(600132)：资产注入按计划推进 长期成长性有望持续增强,新浪
1224,2020-06-22,嘉士伯拟注入11家酒厂，重庆啤酒搅局高端市场有望？,格隆汇
1225,2020-06-22,【外资流入提振板块，消费复苏仍在进行——方正食品饮料200621】,虎哥的研究
1226,2020-06-22,【早安新时代】2020/06/22：今日关注重庆啤酒,新时代证券研究
1227,2020-06-22,【新时代食品饮料团队】重庆啤酒：资产注入如期落地，夯实西部龙头地位,新时代证券研究
1228,2020-06-22,A股早报2020年6月22日星期一,Wind
1229,2020-06-22,最新公告透露利好 12只个股有望爆发（06.22）,中金在线
1230,2020-06-22,五粮液持续推进改革，高端白酒龙头优势仍凸显？,南都报
1231,2020-06-21,重庆啤酒资产“扩容”，高端啤酒市场再起风云,第一财经
1232,2020-06-21,6月22日涨停板早知道：七大利好有望发酵,新浪
1233,2020-06-21,下周操盘攻略：流动性是核心驱动力,Wind
1234,2020-06-20,网红品牌“夺命大乌苏”将走入资本市场 嘉士伯拟向重庆啤酒注入11家酒厂,每日经济新闻
1235,2020-06-20,大股东履行承诺 重庆啤酒借资产注入扩大品牌矩阵,上证报
1236,2020-06-19,重庆啤酒将获注嘉士伯中国优质资产,上证报
1237,2020-06-19,6月20日上市公司重要公告集锦：上海电气子公司电气风电科创板上市申请获受理,证券日报
1238,2020-06-19,重庆啤酒披露重组预案：嘉士伯进一步将中国优质资产注入上市公司体系,中证网
1239,2020-06-19,重庆啤酒重组预案出炉 嘉士伯拟注入国内11家啤酒厂资产,上证报
1240,2020-06-19,重庆啤酒资源整合方案出炉：嘉士伯中国五大品牌全部注入！,重庆商报
1241,2020-06-19,【开源食饮每日资讯0619】重庆啤酒拟获嘉士伯进一步注入中国优质资产,宇光食饮日讯
1242,2020-06-19,嘉士伯拟向重庆啤酒进一步注入优质资产 涉及乌苏等多个品牌,e公司
1243,2020-06-19,重庆啤酒披露重大资产重组预案：嘉士伯履行承诺 将解决潜在同业竞争,证券日报
