,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
616,2020-08-27,华能水电(600025)：如期回落 保持谨慎乐观,新浪
617,2020-08-27,【面包财报】华能水电：2020年上半年归母净利润13.88亿元，同比下降50.72% 盈利能力下降,面包财经
618,2020-08-27,【财报智读】华能水电：2020年上半年归母净利润13.88亿元，同比下降50.72% 盈利能力下降,面包财经
619,2020-08-27,华能水电2020年上半年归母净利同比下降50.72% 盈利能力下降,北极星电力
620,2020-08-27,川投能源(600674)首次覆盖报告：防御性和成长性兼备的优质水电标的,新浪
621,2020-08-26,华能水电公布半年报 上半年净利减少50.72% 盈利能力下降,新浪
622,2020-08-26,华能水电(600025.SH)：因年龄原因免去艾永平总工程师职务,格隆汇
623,2020-08-26,华能水电：上半年净利13.88亿元同比下滑逾五成 盈利能力下降,格隆汇
624,2020-08-26,华能水电(600025.SH)：上半年归母净利降50.72%至13.88亿元 盈利能力下降,格隆汇
625,2020-08-26,华能水电：董事会同意免去艾永平总工程师职务 董监高成员变化,Wind
626,2020-08-26,华能水电：上半年净利润同比减少50.72% 盈利能力下降,Wind
627,2020-08-24,公用事业行业周报(第三十四周),新浪
628,2020-08-24,公用事业行业周报：8月全国日发电量和统调用电负荷连创新高,新浪
629,2020-08-24,公用事业周报：中报季业绩兑现,光大证券
630,2020-08-20,【天风公用环保 | 日报】华电国际上半年归母净利同比增加44%,郭丽丽的研究札记
631,2020-08-20,华能水电(600025.SH)：完成10亿元超短融发行,格隆汇
632,2020-08-20,电力股为何逆市上涨，将复制2015年行情？（附股）,21世纪经济报道
633,2020-08-19,电力行业：7月用电增速有所回落 火电增速由正转负,新浪
634,2020-08-19,中国短期融资券及中期票据信用分析周报,新浪
635,2020-08-19,电力行业动态跟踪报告：数说电力(2020年8月刊),新浪
636,2020-08-19,天风证券：云南省电力实现量价齐升 推荐关注华能水电和文山电力,证券时报网
637,2020-08-18,华能水电(600025.SH)完成发行20亿元超短期融资券,格隆汇
638,2020-08-18,云南省电力实现量价齐升，推荐关注当地运营商,郭丽丽的研究札记
639,2020-08-17,电力行业日报：海南省印发《海南能源综合改革方案》,新浪
640,2020-08-16,公用事业行业周报：7月全社会用电量同比增长2.3% 天然气产量同比增长4.8%,新浪
641,2020-08-16,7月能源供给增速短期承压，复苏仍为主线,郭丽丽的研究札记
642,2020-08-14,7月用电数据点评：增速短暂承压 修复趋势不改,新浪
643,2020-08-12,【国君公用】7月电力、热力生产和供应业生产者价格同比下降2.3%,国君公用周妍之每日资讯
644,2020-08-12,中国短期融资券及中期票据信用分析周报,新浪
645,2020-08-12,华能水电(600025.SH)公开发行可续期公司债券获中国证监会注册批复,格隆汇
646,2020-08-11,华能水电(600025.SH)：完成发行20亿元超短期融资券,格隆汇
647,2020-08-10,公用事业周报：用电负荷提升 关注基本面改善,光大证券
648,2020-08-09,垃圾分类和处理补短板政策的主线及投资机遇,郭丽丽的研究札记
649,2020-08-09,公用事业行业周报：LNG出厂价格指数企稳回升 国产及进口气价均环比上涨,新浪
650,2020-08-03,公用事业周报：国家管网网站上线 把握中报季行情,光大证券
651,2020-08-03,解读污水处理补短板方案三大投资机会,郭丽丽的研究札记
652,2020-07-30,2020年《财富》中国500强出炉 7家上市滇企上榜华能水电首次亮相,证券日报
653,2020-07-29,公用事业行业周报：6月全社会用电量同比增长6.1% 增速较5月上升1.5PCT,新浪
654,2020-07-28,绿色债券季报：二季度我国绿色债券发行规模环比有所增加 我国绿色债券统一标准出台可期,新浪
655,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
656,2020-07-27,融资客青睐3股，长虹华意买入占比高达33.49%,Wind
657,2020-07-26,国家管网资产加速划拨，释放什么信号？,郭丽丽的研究札记
658,2020-07-23,电力行业2020年6月电力统计数据点评：用电需求连月提升 汛期以来水火两旺,新浪
659,2020-07-23,Q2公用事业基金持仓分析：火电低配比例收窄,郭丽丽的研究札记
660,2020-07-21,电力、煤气及水等公用事业行业：火电左侧建仓时 水电白马增持际,国金证券股份有限公司
661,2020-07-18,公用事业行业周报：6月发电量同比增长6.5% 天然气产量同比增长11.3%,新浪
662,2020-07-18,电力行业动态跟踪报告：数说电力(2020年7月刊),新浪
663,2020-07-16,华能澜沧江水电：取消发行“20HHPS1”,Wind
664,2020-07-15,华能水电：汛期来水发力 电量拐点可期,北极星电力
665,2020-07-15,华能水电：上半年发电量373.66亿千瓦时 同比减少 30.65%,北极星电力
666,2020-07-14,华能水电(600025.SH)完成发行10亿元中期票据,格隆汇
667,2020-07-14,长江电力、华能水电尾盘拉升，电力板块涨幅扩大,Wind
668,2020-07-13,华能水电拟公开发行不超40亿元公司债,上证报
669,2020-07-13,华能水电(600025.SH)拟发行不超5亿元短期公司债券,格隆汇
670,2020-07-13,公用事业周报：中报窗口期将至 火电值得期待王威,光大证券
671,2020-07-12,降水丰沛度历史罕见，水电投资机会如何演绎？,郭丽丽的研究札记
672,2020-07-12,公用事业行业周报：5月天然气表观消费量同比增长9.1% 重点关注汛期水电板块,新浪
673,2020-07-11,公用事业2020 年中报业绩前瞻：火电全面回暖 水电期待汛期,新浪
674,2020-07-09,56股获券商买入评级，震安科技目标涨幅达86.83%,Wind
675,2020-07-08,中国短期融资券及中期票据信用分析周报,新浪
676,2020-07-08,公用环保行业半年报前瞻：火电中报高增有望 环卫模式价值正被挖掘,新浪
677,2020-07-07,华能水电(600025)：来水偏枯拖累上半年电量 资本开支高位回落有望支撑现金流稳健,新浪
678,2020-07-07,上市公司正负面新闻2020年7月7日星期二,Wind
679,2020-07-06,【天风公用环保|日报】长电Q2发电量同比减少8.9%,郭丽丽的研究札记
680,2020-07-06,晚间重要公告2020年7月6日星期一,Wind
681,2020-07-06,华能水电(600025.SH)：2020年上半年发电量降30.65%至373.66亿千瓦时,格隆汇
682,2020-07-06,华能水电：2020年上半年完成发电量同比减少30.65%,格隆汇
683,2020-07-06,华能水电：上半年完成发电量373.66亿千瓦时，同比减少30.65%,Wind
684,2020-07-06,环保公用行业周报：“新基建”拉动用电持续高增长 环保资源化处置行业空间巨大,新浪
685,2020-07-06,公用事业行业周报：汛期强降雨持续 燃气价格监管加强,光大证券
686,2020-07-05,公用事业行业周报：电价让利政策延长至年底 重点关注汛期水电板块,新浪
687,2020-07-03,水电行业：汛期强降雨持续 滞涨水电投资机会来临,新浪
688,2020-07-03,券商首次关注3股并给予买入评级（7月3日）,Wind
689,2020-07-03,华能水电(600025)首次覆盖报告：拐点已至,新浪
690,2020-07-03,深度|华能水电：拐点已至,郭丽丽的研究札记
691,2020-07-02,电力行业：5月用电增速继续回暖 火电同比大幅增长9%,新浪
692,2020-06-29,华能水电直线拉升,Wind
693,2020-06-29,公用事业行业周报：汛期强降雨来临 乌东德首批投产机组进入试运行,新浪
694,2020-06-29,环保公用行业周报：长江干流水电站提前满开 11项环保强制性国标拟立项修订,新浪
695,2020-06-28,【公用环保|周报】汛期提前来临，水电迎来投资机会,郭丽丽的研究札记
696,2020-06-27,电力行业热点专题系列(七)：电力视角看复苏：行业用电分化几何？,光大证券
697,2020-06-22,华能水电(600025.SH)完成发行10亿元的绿色超短期融资券,格隆汇
698,2020-06-22,环保公用行业周报：长江电力进一步扩大股权投资 环卫市场看好全国布局的龙头公司,新浪
699,2020-06-17,信用分析周报：中国短期融资券及中期票据信用分析周报,新浪
700,2020-06-15,2020年5月发电量数据点评：电量增长加速 火电表现亮眼,光大证券
701,2020-06-14,环保及公用事业行业周报：国六标准即将施行 拉动尾气处理市场扩容超600亿,新浪
702,2020-06-11,华能水电(600025.SH):2019年度利润分配社会公众股每10派1.8元 股权登记日6月18日,格隆汇
703,2020-06-11,融资客青睐14股，中国银行买入占比高达46.65%,Wind
704,2020-06-08,环保公用行业周报：5月发电增速快速回暖 城镇化补短板加速升级,新浪
705,2020-06-03,中国短期融资券及中期票据信用分析周报,新浪
706,2020-06-03,华能水电(600025.SH)完成发行2020年度第九期超短期融资券,格隆汇
707,2020-05-28,电力行业-中电联发布4月电力工业运行简况点评：4月份用电量恢复正增长 火电增速由负转正,新浪
708,2020-05-22,华能水电(600025.SH)完成发行15亿元超短期融资券,格隆汇
709,2020-05-21,华能水电(600025.SH)完成发行5亿元绿色超短期融资券,格隆汇
710,2020-05-13,中国短期融资券及中期票据信用分析周报,新浪
711,2020-05-13,华能水电(600025.SH)完成发行2020年度第六期超短期融资券,格隆汇
712,2020-05-12,【环保】疫情拖累业绩，环卫逆势上扬——公用事业2019年报及2020一季报总结,和讯
713,2020-05-11,36家上市滇企去年业绩出炉 33家公司遇喜 华能水电蝉联“吸金王”,昆明日报
714,2020-05-10,股市分析：聊一聊华能水电的估值,搜狐
715,2020-05-09,十大电力上市公司2019年业绩排行,北极星电力
716,2020-05-05,上交所发布沪市主板公司2019年年报整体分析报告,Wind
717,2020-04-28,华能水电去年营收突破200亿元 重点机组投产完毕发电量增长明显,证券日报
718,2020-04-27,【公用环保|Q1基金持仓分析】持仓比例抬升，环保明显加仓,微信
719,2020-04-26,华能水电2020年一季度亏损5374.48万元 上年同期盈利8.04亿元 亏损,北极星电力
720,2020-04-26,华能水电2019年实现归母净利55.44亿元,北极星电力
721,2020-04-25,【天风公用环保|日报】《疆内水电站2020年丰水期参与月度直接交易实施方案》征求意见,微信
722,2020-04-24,华能水电：2019年度发电量创历史新高,上证报
723,2020-04-24,华能水电(600025.SH)一季度业绩由盈转亏 净亏损5374.48万元 亏损,格隆汇
724,2020-04-24,华能水电(600025.SH)2019年度净利降4.45%至55.45亿元拟10派1.5222元 盈利能力下降,格隆汇
725,2020-04-24,华能水电：公司变更监事 董监高成员变化,Wind
726,2020-04-24,华能水电：公司变更董事 董监高成员变化,Wind
727,2020-04-24,华能水电：2019年净利润同比减少4.45% 盈利能力下降,Wind
728,2020-04-24,华能水电：一季度净亏损5374.48万元，由盈转亏 亏损,Wind
729,2020-04-22,华能水电(600025.SH)完成发行2020年度第五期超短期融资券,格隆汇
730,2020-04-09,华能水电发布一季度发电量公告：发电量、上网电量双双大跌近40％ 连续下跌,华夏能源网
731,2020-04-07,华能水电(600025.SH)一季度发电量降37.88%至140.33亿千瓦时,格隆汇
732,2020-04-07,华能水电：一季度完成发电量140.33亿千瓦时，同比减少37.88%,Wind
733,2020-03-27,投产高峰即将开启 水电板块龙头股攻守兼备,红周刊
734,2020-03-27,华能水电(600025.SH)签订2020年澜沧江上游水电站送电广东购售电合同,格隆汇
735,2020-03-06,华能水电(600025.SH)完成发行2020年度第二期超短期融资券,格隆汇
736,2020-02-19,华能水电(600025.SH)完成发行15亿元超短期融资券,格隆汇
737,2020-01-31,【申万公用环保】复盘2003，优质公用事业龙头是否应该配置,申万环保公用
738,2020-01-19,12月能源生产数据：火电增速抬升，煤炭进口高增,郭丽丽的研究札记
739,2020-01-19,知名券商投顾老鼠仓竟倒亏92万，多起趋同交易亏损案 亏损,第一财经
740,2020-01-10,华能水电2019年发电量和上网电量均突破千亿度大关 实现双增长,证券日报
741,2020-01-06,华能水电所属各水电站2019年发电量公告,北极星电力
742,2020-01-03,华能水电：2019年发电量同比增长约28%,e公司
743,2020-01-03,华能水电(600025.SH)2019年全年发电量升27.76%至1044.06亿千瓦时,格隆汇
744,2019-12-30,华能水电拟捐赠1亿元电力援藏资金建设西藏可再生能源局域网,上证报
745,2019-12-30,华能水电(600025.SH)捐赠“十三五”电力援藏资金1亿元,格隆汇
746,2019-12-29,公用事业：市场电规模扩大向下游让利 荐21股,申万宏源
747,2019-12-19,华能水电：终端供需转紧电价扬，调节水库枯期多供电,--
748,2019-12-13,华能水电收购云南华电金沙江中游水电开发有限公司11%股权完成,北极星电力
749,2019-12-12,华能水电：优质水电龙头，逆流而上,证券时报网
750,2019-12-12,华能水电(600025.SH)收购金中公司11%股权事项完成,格隆汇
751,2019-12-11,中国平安、贵州茅台领衔——A股投资价值10强公司,搜狐
752,2019-12-04,华能水电(600025.SH)完成发行5亿元超短期融资券,格隆汇
753,2019-11-28,华能水电(600025.SH)完成发行11亿元超短期融资券,格隆汇
754,2019-11-19,收藏好，安全边际较高的高分红潜力股名单来了,证券时报
755,2019-11-08,【申万公用环保】华能水电（600025）公司深度报告：兼顾提价和产能扩张的中国第二大水电平台,申万环保公用
756,2019-10-31,华能水电(600025.SH)完成发行18亿元中期票据,格隆汇
757,2019-10-31,沪市三季报业绩扫描：蓝筹公司稳中求进,Wind
758,2019-10-29,【建投能源交运】华能水电：汛期来水偏枯，电价提升贡献三季度主要业绩增量,微信
759,2019-10-29,【申万公用环保】华能水电（600025）2019年三季报点评：三季度来水整体回落 上游来水较好助力业绩超预期,申万环保公用
760,2019-10-28,华能水电2019三季报点评：电价改革方案落地稳电价，高股息凸显战略配置价值,能源观察站
761,2019-10-28,10月29日上市公司重要公告集锦：格力电器股权接盘方确定为珠海明骏,证券日报
762,2019-10-28,华能水电前三季净利同比增116.71%,金融界
763,2019-10-28,华能水电：前三季度净利润同比增116.71%,Wind
764,2019-10-22,"电力行业动态跟踪报告:水落火起,二产回归常态",平安证券
765,2019-10-21,华能水电(600025.SH)完成发行22亿元中期票据,格隆汇
766,2019-10-21,公用事业：天然气改革有望再下一城 荐23股,申万宏源
767,2019-10-15,方正证券丨周报聚焦1008-1011,方正证券研究
768,2019-10-13,公用事业：电力行业三季报业绩前瞻 荐11股,方正证券
769,2019-10-10,华能水电：前三季度发电量同比增35.5%,Wind
770,2019-10-10,华能水电：前三季度发电量同比增35.5%,e公司
771,2019-10-10,华能水电(600025.SH)前三季度发电量升35.5%至818.76亿千瓦时,格隆汇
772,2019-09-26,营收净利双暴增的低估值股票，仅61只，已走出多只大牛股（附滞涨股名单）,证券时报
773,2019-09-25,"电力行业动态跟踪报告:线损扰动二产增速,核电利用小时回升",平安证券
774,2019-09-22,【方正公用】全球利率继续下行， 非周期高股息水电将受益,微信
775,2019-09-20,电力：核电利用小时回升 荐10股,平安证券
776,2019-09-20,电力：看好高股息率龙头及不受平台制约的高成长标的 荐4股,中泰证券
777,2019-09-19,华能水电(600025.SH)完成发行15亿元超短期融资券,格隆汇
778,2019-09-19,华能水电：量价齐升提振业绩，高股息率凸显战略配置价值,证券时报网
779,2019-09-11,"电力行业2019中报业绩综述:增速趋缓,盈利能力向好",平安证券
780,2019-09-09,近九成云南上市公司上半年实现盈利 有色金属板块营收领跑,证券日报
781,2019-09-03,"华能水电:一衣带水联滇粤,西电东送大湾区",平安证券
782,2019-09-01,“云南板块年中赚钱榜”位次落定 华能水电再度领衔 云南白药屈居次席,证券日报
783,2019-08-24,券商首次关注5股并给予买入评级（8月24日）,Wind
784,2019-08-23,华能水电(600025):机组投产及来水偏丰致增长，省内用电及西电东送保消纳,环保公用溶易看
785,2019-08-23,华能水电（600025）：新机组投产及来水偏丰助业绩腾飞,中信证券研究
786,2019-08-22,华能水电：上半年净利超28亿元 同比增两倍,e公司
787,2019-08-22,华能水电：上半年净利润同比增224.77%,Wind
788,2019-08-21,"电力行业动态跟踪报告:二产疲弱、居民需求不振,火电重回跌势",平安证券
789,2019-08-20,华能水电(600025.SH)完成发行20亿元中期票据 发行利率3.93%,格隆汇
790,2019-08-20,【方正公用】上半年电力市场中长期电力直接交易电量8847.7亿千瓦时，同比增长约40%。,微信
791,2019-08-16,"公用事业行业事件点评报告:7月电力生产放缓,现货交易试点深化",国海证券
792,2019-08-01,券商首次关注7股并给予买入评级（8月1日）,Wind
793,2019-08-01,98股获券商买入评级 银轮股份目标涨幅达92.31%,Wind
794,2019-08-01,"电力及公用事业周报:电力行业基金持仓占比创历史新低,持仓集中度高",长城证券
795,2019-07-31,“飞龙在天”之创新高模型：600025华能水电,财富动力网
796,2019-07-29,"环保公用事业行业2019年二季度基金持仓分析:基金持仓比例持续下滑,持仓集中度有所提升",渤海证券
797,2019-07-28,【方正公用事业】日耗回升反映火电发力，全球降息预期下水电龙头配置价值凸显,微信
798,2019-07-24,【方正公用环保郭丽丽团队】 贵州省发布关于贯彻落实城镇污水处理提质增效三年行动方案（2019—2021年）的通知,微信
799,2019-07-24,华能水电(600025.SH)完成发行10亿元超短期融资券,格隆汇
800,2019-07-24,"电力及公用事业行业周报:弱需求叠加高库存,三季度动力煤供给走向宽松",长城证券
801,2019-07-23,"电力行业动态跟踪报告:二产回暖,气温起效,火电止跌",平安证券
802,2019-07-20,华能水电短期融资券发行总额为10亿元,挖贝网
803,2019-07-19,【申万公用环保】公用事业行业2019年中报前瞻：区域火电盈利提升 水电彰显稳健优势,申万环保公用
804,2019-07-18,电力及公用事业行业周报:浙江省下调燃煤标杆电价,长城证券
805,2019-07-18,"华能水电:水电优质龙头,量价提升共振业绩",西南证券
806,2019-07-18,"公用事业行业事件点评报告:6月发电量增速回升,关注中报向好及重组预期",国海证券
807,2019-07-17,电力：6月份用电需求向好带动火电增速转正 荐8股,方正证券
808,2019-07-17,20190713长城公用-公用事业行业周观点：浙江省下调燃煤标杆电价,流星飞电
809,2019-07-15,华能水电：乌弄龙水电站四台机组全部投产发电,Wind
810,2019-07-15,华能水电：乌弄龙水电站四台机组全部投产发电,e公司
811,2019-07-14,【方正公用环保郭丽丽团队】业绩公告陆续出炉，火电板块整体继续回暖——2019年第29周观点,公用环保郭丽丽团队
812,2019-07-12,华能水电：稀缺水电成长股 盈利能力向好,证券时报网
813,2019-07-12,华能水电（600025）：稀缺的水电成长股，受益行业供需改善,中信证券研究
814,2019-07-08,华能水电：上半年发电量539亿千瓦时 同比增57%,中国煤炭资源网
815,2019-07-04,华能水电：上半年发电量同比增57.13%,Wind
816,2019-07-02,华能水电：关于2019年第一次临时股东大会的延期公告,上交所
817,2019-07-01,【方正公用环保郭丽丽团队】湖北省火电走强叠加煤价下行，区域火电 盈利弹性大增——2019年第27周观点,公用环保郭丽丽团队
818,2019-06-28,【建投能源交运-深度】华能水电：西电东流去，亘古澜沧江,微信
819,2019-06-28,电力市场化，从量变走向质变，一文看清事件演变,Wind
820,2019-06-26,公用事业：博弈火电 荐2股,平安证券
821,2019-06-24,[快讯]6月24日大宗交易一览,中财网
822,2019-06-24,上海证券市场大宗交易公开信息(2019-06-24),上交所
823,2019-06-24,华能水电今日大宗交易成交350万股，最低成交价4.06元最高折价0.49%,Wind资讯
824,2019-06-21,"电力行业2019年中期投资策略:火电业绩快速修复,水电防御价值明显",国信证券
825,2019-06-20,格隆汇A股公告精选(6.20) | 正业科技与深南电路签5G及PCB相关开发合作协议；华能水电拟投200亿建托巴水电站项目；中国中铁联营体中标超140亿匈牙利铁路项目；中国平安斥资逾10亿回购A股,格隆汇
826,2019-06-19,华能水电：拟投逾200亿元建托巴水电站项目,Wind
827,2019-06-18,"华能水电:优质大型水电,盈利能力回升",国信证券
828,2019-06-16,【方正公用环保郭丽丽团队】5月份火电增速降幅扩大，水电等清洁能源继续发力——2019年第25周观点,公用环保郭丽丽团队
829,2019-06-11,顶格打新必中的新股来了，发行价或仅2.04元,证券时报网
830,2019-06-11,电力行业2019年下半年投资策略:捕捉基本面掩护下的“改革躁动”,光大证券
831,2019-05-28,"2019年4月电力数据及行业政策解读:4月用电增速保持平稳,火电受益降税红利",申万宏源
832,2019-05-27,【华创环保公用】周报20190526：中央环保投资项目储备库开展建设，完善风电上网电价政策巩固行业基石,V蓝环保观察
833,2019-05-23,13公司获QFII连续三季度加仓 偏爱两领域 普遍越跌越买,大众证券报
834,2019-05-21,"电力行业动态跟踪报告:三产、居民需求稳定,火电发电增速转负",平安证券
835,2019-05-16,[路演]华能水电：2019年公司力争完成发电量1005亿千瓦时,全景网
836,2019-05-16,"电力行业:第二批降电价措施出台,基本符合预期",平安证券
837,2019-05-12,【华创环保公用】周报20190512：无废城市试点再添大固废发展动力，地表水水质排名推行，监测行业仍大有可为,V蓝环保观察
838,2019-05-07,【国君公用|季报综述】火电大幅改善，水电略超预期——公用事业行业2018年报&2019年一季报回顾,妍姐电报
839,2019-05-06,【安信环保公用邵琳琳团队】周报 0505：钢铁行业超低排放正式推进，蓝天保卫战强化监督再出发,安信证券环保公用研究
840,2019-05-06,A股早报2019年5月6日星期一,Wind
841,2019-05-05,公告点题｜今晚这些公告有看头（更新中）,第一财经
842,2019-05-05,下周操盘攻略：10年五一节后首周涨少跌多，今年牛市大逻辑没变,Wind
843,2019-05-05,华能水电：里底水电站三台机组全部投产发电,e公司
844,2019-05-05,华能水电：里底水电站3号机组正式进入商业运行,Wind
845,2019-04-29,华能水电去年成绩单出炉 营收净利实现双增长,证券日报
846,2019-04-28,华能水电：2018年实现净利58.03亿元 同比增长165.10%,中国煤炭资源网
847,2019-04-26,大公：关注华能水电对外担保事项,Wind
848,2019-04-26,华能水电去年净利58.03亿元 同比增长165% 董事长袁湘华薪酬为107万元,挖贝网
849,2019-04-26,【申万公用环保】华能水电（600023）18年年报及19年1季报点评：下半年来水大幅好转 转让股权获得大额投资收益,申万环保公用
850,2019-04-26,公告点题｜4月25日这些公告有看头,第一财经
851,2019-04-26,"华能水电:水电量价齐升,资本开支拟大降",国信证券
852,2019-04-25,【中投早知道】2019-04-26,赢家之星
853,2019-04-25,公告精选：华能水电等一季度业绩大增；千山药机可能被暂停上市,e公司
854,2019-04-25,公告精选：石化油服等一季度业绩大增；银亿股份等业绩“变脸”,e公司
855,2019-04-25,华能水电(600025.SH)2018年度净利润升165.10%至58.03亿元 拟10派1.5022元,格隆汇
856,2019-04-25,华能水电(600025.SH)一季度净利润升137.34%至8.04亿元,格隆汇
857,2019-04-25,4月25日上市公司晚间公告速递,新浪
858,2019-04-25,华能水电：一季度净利同比增137%,e公司
859,2019-04-25,华能水电：一季度净利润同比增137.34%,Wind
860,2019-04-25,华能水电：2018年净利润同比增165.10%,Wind
861,2019-04-21,【国君公用|行业周报】3月发电量增速5.4%，淡季来临煤价下行（04.15-04.19）,妍姐电报
862,2019-04-21,【方正公用环保郭丽丽团队】3月份二产用电量增速提升，看好火电盈利持续修复——2019年第17周观点,公用环保郭丽丽团队
863,2019-04-14,【国君公用|行业周报】核安全局颁发台山机组运行许可证，风光平价项目先建先消纳（04.08-04.12）,妍姐电报
864,2019-04-14,【华创环保公用】周报20190412：社融超预期望提企业增长弹性，事件+政策奠定环保治理重要窗口期,V蓝环保观察
865,2019-04-13,华能水电短期融资券发行 总额为20亿元,挖贝网
866,2019-04-10,华能水电：职工代表董事变更 董监高成员变化,Wind
867,2019-04-08,华能水电(600025.SH)完成发行16亿元2019年度第七期超短融,格隆汇
868,2019-04-08,华能水电(600025.SH)一季度发电量225.91亿千瓦时 同比增43.28%,格隆汇
869,2019-04-08,【国君公用|行业周报】滇西北直流输配电价落地利好华能水电，核电重启进展顺利（04.01-04.04）,微信
870,2019-04-03,【华创环保公用】电力行业1903期：增值税增厚业绩，推荐一季报高增水、火电,V蓝环保观察
871,2019-04-03,【国君公用|公司点评】华能水电：滇西北直流输电价格落定，一季度业绩增长可期,妍姐电报
872,2019-03-31,【国君公用|行业周报】电网端增值税让利下游，火电发电端电价大概率不变（03.26-03.29）,妍姐电报
873,2019-03-24,【国君公用|行业周报】火电一季报业绩值得期待，核电重启信号逐渐明朗（03.18-03.22）,妍姐电报
874,2019-03-21,国际实业（000159.SZ）私下炒股 却因概念被爆炒股价录得6涨停,格隆汇
875,2019-03-20,华能水电短期融资券发行 总额为6亿元,挖贝网
876,2019-03-12,52股获券商买入评级 保利地产目标涨幅达42.75%,Wind
877,2019-03-08,【国君公用|公司深度】华能水电（600025）：存量机组电价有望提升，新增澜上机组盈利能力较强,妍姐电报
878,2019-03-03,【方正公用环保郭丽丽团队】增值税税率下调对公用事业细分行业利润的影响——2019年第10周观点,公用环保郭丽丽团队
879,2019-02-16,利润环比连增+同比暴增 43匹盈利白马现身,证券时报
880,2019-02-10,【方正公用环保郭丽丽团队】一季度业绩展望——2019年第7周观点,公用环保郭丽丽团队
881,2019-01-31,长城公用-公用事业行业周观点：Q3业绩披露，火电板块Q3业绩复苏加速，水电业绩增速放缓 盈利能力下降,流星飞电
882,2019-01-31,长城公用-公用事业2019年三季报总结：煤价、电量数据向好，火电板块Q3业绩复苏加速；Q3水情致水电业绩增速放缓 盈利能力下降,流星飞电
883,2019-01-29,公用事业与环保行业2018q4基金与陆股通持仓分析:龙头吸引力增强,光大证券
884,2019-01-25,华能水电：预计2018年净利润同比增长1.54倍-1.74倍,Wind
885,2019-01-25,华能水电(600025.SH)2018年度净利润预增154%-174%,格隆汇
886,2019-01-23,公用事业：水电持仓接近历史高位 荐58股,方正证券
887,2019-01-20,【方正公用环保郭丽丽团队】12月份全社会用电量增长8.99%，江西推进“基准电价+浮动电价”机制——2019年第4周观点,公用环保郭丽丽团队
888,2019-01-11,电力：水核龙头18年发电量均提升 本周煤价反弹,和讯
889,2019-01-07,华能水电机组建投再创世界纪录 实现“一日四投”助力“西电东送”,证券日报
890,2019-01-06,【长江证券电力公用|一周核心总结】多举措加强南方跨省电力交换，华南水电消纳环境有望持续改善,长江电力及公用事业
891,2019-01-04,华能水电：2018年全年发电量同比增11.62%,e公司
892,2018-12-31,【晨会聚焦】美联储如期降息，政策分歧扩大,中泰证券研究所
893,2018-12-27,"电力行业月报1812期:煤价快速回落,燃气旺季格局稳定,关注火电板块内轮动",正点财经
894,2018-12-26,巨丰原创：2018年IPO情况年终报告,巨丰财经
895,2018-12-24,【安信环保公用邵琳琳团队】周报1223：电力板块防御性凸显，继续关注环保结构性反弹行情,安信证券环保公用研究
896,2018-12-24,"公用事业及环保行业研究周报:11月全社会用电量同比增长6.3%,中央经济工作会议提振信心",证券之星
897,2018-12-23,【方正公用环保郭丽丽团队】从“中央经济工作会议”解读2019年公用环保板块的投资观点——2018年第51周观点,公用环保郭丽丽团队
898,2018-12-17,A股早报2018年12月17日星期一,Wind
899,2018-12-17,"环保及公用事业周报:电镀等五行业自行监测技术指南发布,排污许可制持续落地",安信证券
900,2018-12-16,【安信环保公用邵琳琳团队】周报1216：电镀等五行业自行监测技术指南发布，排污许可制持续落地,微信
901,2018-12-15,2018年临近收官 有两件事需要注意,巨丰财经
902,2018-12-14,下周720亿市值限售股解禁，环比增加49.45% 解禁,Wind
903,2018-12-14,大公：关注华能水电转让金中公司股权事项进展 资产异常,Wind
904,2018-12-13,"环保及公用事业行业周报:唐山限期验收钢企超低排放,卡塔尔退出OPEC发力LNG增产",正点财经
905,2018-12-13,国金策略李立峰：12月A股限售股解禁 我们需关注什么,国金证券
906,2018-12-12,前脚指责竞价交易违背章程 后脚又逾61亿接盘 华能水电卖参股公司现“尴尬”一幕,每日经济新闻
907,2018-12-11,华能水电：61亿元转让金中公司23%股权,e公司
908,2018-12-10,华能水电：首次公开发行限售股上市流通公告,上交所
909,2018-12-10,[快讯]华能水电712800万限售股12月17日解禁,中财网
910,2018-12-10,"公用事业行业周报:前三季度云南西电东送电量创历史新高,强烈推荐华能水电",方正证券
911,2018-12-10,环保及公用事业周报:第二批环保督察“回头看”进驻结束,安信证券
912,2018-12-09,【安信环保公用邵琳琳团队】周报1209：第二批环保督察“回头看”进驻结束,安信证券环保公用研究
913,2018-12-09,公用事业：继续看好火电盈利修复 荐2股,方正证券
914,2018-12-03,"环保及公用事业周报:ppp条例起草发改、财政相向而行,环保板块信用利差有所收窄",安信证券
915,2018-11-26,4000亿解禁洪峰12月抵达，2019年亦不乐观,Wind
916,2018-11-05,"华能水电三季报点评:新机组投产+供需改善,水电龙头腾飞在即",中证网
917,2018-10-29,华能水电：前三季度净利润同比增39.09%,Wind
918,2018-10-25,柬埔寨最大水电站华能水电造年发电19.7亿千瓦时 缓解当地供电问题,证券日报
919,2018-10-22,华能水电：柬埔寨桑河二级水电发电机组投产,e公司
920,2018-10-15,电力行业周报：多个省份发布落后煤电机组淘汰计划,中财网
921,2018-10-14,晚间重要公告2018年10月14日星期日,Wind
